"","Season","total.mean","total.CV","total.median","total.LCL","total.UCL"
"1","2006/2007",20930.8571428571,10.1812834761555,20640,18504.75,25360.5
"2","2007/2008",19285.7114285714,9.72781759000342,18980,16550,23785.25
"3","2009/2010",20908.3914285714,4.85561288866563,20880,19010,22985.25
"4","2010/2011",21533.1085714286,4.72802808160553,21520,19590,23640
"5","2014/2015",23864.4257142857,6.51334630771992,23670,21320,27550
"6","2015/2016",27330.6685714286,4.84654501050946,27315,24794.75,29990
"7","2019/2020",20574.2342857143,4.81858813912529,20550,18614.75,22590.5
"8","2021/2022",17604.1685714286,5.10868663120337,17590,15890,19435.25
"9","2022/2023",14578.18,5.02741212604755,14540,13170,16120
"10","2023/2024",19472.4714285714,5.35094960794061,19450,17540,21650
"11","2024/2025",12807.4114285714,5.37127700717096,12770,11554.75,14270
