Season mean median
1 2006/2007 9.95159653237123 9.9345016060653
2 2007/2008 9.88933246532192 9.86005799460879
3 2009/2010 9.94831762397392 9.94654704199658
4 2010/2011 9.97790229905835 9.97720259035841
5 2014/2015 10.0616755357608 10.0566377320298
6 2015/2016 10.2128061395374 10.2113398317773
7 2019/2020 9.93101249176329 9.93012948348255
8 2021/2022 9.77546467443464 9.7750858377316
9 2022/2023 9.58316330747164 9.58121403531473
10 2023/2024 9.87426443644568 9.8725127482367
11 2024/2025 9.45552815396247 9.45250192912615
