#edited
001 B	02/17/2022	07:30:00
002 P	02/17/2022	07:30:00	MSL	GEL	N
003 V	02/17/2022	07:30:00	2	3
004 S	02/17/2022	07:35:20	1	269	1.31	1.4	2	MSL	GEL	2	3		South
005 S	02/17/2022	07:45:07	1	245	1.08	1.8	2	MSL	GEL	2	3		South
006 V	02/17/2022	08:03:09	2	2
007 P	02/17/2022	09:00:00	ACH	MSL	N
008 V	02/17/2022	09:00:00	2	2
009 S	02/17/2022	09:04:19	2	261	0.86	2.4	1	ACH	MSL	2	2		South
010 S	02/17/2022	09:06:39	2	250	0.71	3	1	ACH	MSL	2	2		South
011 S	02/17/2022	09:09:16	2	235	0.67	3.2	1	ACH	MSL	2	2		South
012 S	02/17/2022	09:16:55	3	251	1.08	1.8	1	ACH	MSL	2	2		South
013 S	02/17/2022	09:19:28	3	244	1.08	1.8	1	ACH	MSL	2	2		South
014 S	02/17/2022	09:42:37	4	282	0.89	2.3	1	ACH	MSL	2	2		South
015 S	02/17/2022	09:48:21	4	256	0.67	3.2	1	ACH	MSL	2	2		South
016 P	02/17/2022	10:30:00	GEL	ACH	N
017 V	02/17/2022	10:30:00	3	2
018 S	02/17/2022	10:58:33	5	253	0.55	4	2	GEL	ACH	3	2		North
019 S	02/17/2022	11:02:41	5	263	0.89	2.3	2	GEL	ACH	3	2		North
020 S	02/17/2022	11:07:03	6	246	1.25	1.5	1	GEL	ACH	3	2		South
021 S	02/17/2022	11:40:12	7	247	1.31	1.4	1	GEL	ACH	3	2		South
022 S	02/17/2022	11:41:21	8	258	1.19	1.6	1	GEL	ACH	3	2		South
023 P	02/17/2022	12:00:00	MSL	GEL	N
024 V	02/17/2022	12:00:00	3	2
025 S	02/17/2022	12:16:51	9	260	1.68	1	2	MSL	GEL	3	2		South
027 S	02/17/2022	12:22:34	9	256	1.68	1	2	MSL	GEL	3	2		South
028 S	02/17/2022	12:27:22	10	265	1.04	1.9	1	MSL	GEL	3	2		South
029 V	02/17/2022	12:36:40	4	3
030 S	02/17/2022	12:37:17	11	289	1.68	1	1	MSL	GEL	4	3		South
031 S	02/17/2022	12:52:36	12	275	0.2	12	1	MSL	GEL	4	3		South
033 S	02/17/2022	13:07:55	11	233	0.75	2.8	2	MSL	GEL	4	3		South
034 P	02/17/2022	13:30:00	ACH	MSL	N
035 V	02/17/2022	13:30:00	4	3
036 S	02/17/2022	13:39:31	13	253	1.68	1	1	ACH	MSL	4	3		South
039 S	02/17/2022	13:44:46	13	243	1.68	1	2	ACH	MSL	4	3		South
040 S	02/17/2022	13:46:47	14	246	0.99	2	2	ACH	MSL	4	3		South
043 C	02/17/2022	14:40:41	Killer whales ret 1.2 at 246 heading slowly north-b10-h15-l8-includes one large male
045 S	02/17/2022	14:53:36	16	262	1.68	1	1	ACH	MSL	4	3		South
046 S	02/17/2022	14:58:40	16	252	1.57	1.1	1	ACH	MSL	4	3		South
047 P	02/17/2022	15:00:00	GEL	ACH	N
048 V	02/17/2022	15:00:00	4	3
049 S	02/17/2022	15:02:20	17	244	0.83	2.5	1	GEL	ACH	4	3		South
050 S	02/17/2022	15:08:01	18	267	0.71	3	1	GEL	ACH	4	3		North
051 S	02/17/2022	15:13:02	19	255	1.68	1	1	GEL	ACH	4	3		South
052 S	02/17/2022	15:13:32	20	263	0.99	2	1	GEL	ACH	4	3		South
053 S	02/17/2022	15:15:22	21	261	1.68	1	1	GEL	ACH	4	3		South
054 S	02/17/2022	15:21:02	22	267	1.68	1	1	GEL	ACH	4	3		North
055 S	02/17/2022	15:25:32	22	272	1.68	1	1	GEL	ACH	4	3		North
056 S	02/17/2022	15:30:14	23	267	0.29	8	1	GEL	ACH	4	3		South
057 S	02/17/2022	15:30:37	23	267	0.38	6	1	GEL	ACH	4	3		South
058 S	02/17/2022	15:38:37	24	278	1.25	1.5	1	GEL	ACH	4	3		South
059 S	02/17/2022	15:47:10	24	256	1.25	1.5	1	GEL	ACH	4	3		South
060 C	02/17/2022	16:08:29	Mnov/humpback at 0.2 and 257: b2-h2-l2
062 S	02/17/2022	16:24:06	25	279	1.68	1	1	GEL	ACH	4	3		South
063 S	02/17/2022	16:25:05	25	274	1.68	1	1	GEL	ACH	4	3		South
064 S	02/17/2022	16:28:41	25	268	1.25	1.5	4	GEL	ACH	4	3		South
065 E	02/17/2022	16:30:00
