#Edited
001 B	01/11/2022	07:30:00
002 P	01/11/2022	07:30:00	CLP	AEH	N
003 V	01/11/2022	07:30:00	2	2
004 S	01/11/2022	07:31:56	1	282	1.47	1.2	2	CLP	AEH	2	2		South
005 C	01/11/2022	07:35:29	Calibration PO:268; DR:272
006 S	01/11/2022	07:38:44	2	255	1.47	1.2	1	CLP	AEH	2	2		South
007 S	01/11/2022	07:40:57	1	268	1.47	1.2	2	CLP	AEH	2	2		South
008 S	01/11/2022	07:48:53	1	251	1.25	1.5	3	CLP	AEH	2	2		South
010 S	01/11/2022	07:56:43	3	245	0.96	2.1	1	CLP	AEH	2	2		South
011 S	01/11/2022	08:12:56	4	266	1.47	1.2	1	CLP	AEH	2	2		South
012 S	01/11/2022	08:19:17	5	251	0.99	2	1	CLP	AEH	2	2		South
013 S	01/11/2022	08:30:32	6	249	1.8	0.9	1	CLP	AEH	2	2		South
014 S	01/11/2022	08:36:53	7	252	0.99	2	1	CLP	AEH	2	2		South
016 S	01/11/2022	08:44:21	8	241	1.68	1	2	CLP	AEH	2	2		South
018 S	01/11/2022	08:57:37	9	248	1.47	1.2	2	CLP	AEH	2	2	DR	South
019 P	01/11/2022	09:00:00	ARL	CLP	N
020 V	01/11/2022	09:00:00	2	2
021 C	01/11/2022	09:04:38	Calibration PO:266; DR:273
022 S	01/11/2022	09:26:58	10	269	1.47	1.2	1	ARL	CLP	2	2		South
023 S	01/11/2022	09:31:17	10	248	1.47	1.2	3	ARL	CLP	2	2		South
024 S	01/11/2022	09:38:33	11	252	1.39	1.3	1	ARL	CLP	2	2		South
025 S	01/11/2022	09:42:32	12	266	1.68	1	1	ARL	CLP	2	2	DR	South
026 V	01/11/2022	09:42:43	2	3
027 S	01/11/2022	09:46:48	12	258	1.68	1	1	ARL	CLP	2	3	DR	South
028 S	01/11/2022	10:10:45	13	278	1.47	1.2	1	ARL	CLP	2	3		South
029 S	01/11/2022	10:16:48	14	282	1.68	1	1	ARL	CLP	2	3		South
030 S	01/11/2022	10:26:06	13	243	1.08	1.8	1	ARL	CLP	2	3	DR	South
032 P	01/11/2022	10:30:00	AEH	ARL	N
033 V	01/11/2022	10:30:00	2	3
034 C	01/11/2022	10:33:58	Calibration: PO:272; DR:270
035 S	01/11/2022	11:06:53	16	290	2.59	0.5	5	AEH	ARL	2	3		South
036 S	01/11/2022	11:25:25	17	273	0.92	2.2	1	AEH	ARL	2	3		South
037 S	01/11/2022	11:26:31	18	277	1.68	1	2	AEH	ARL	2	3		South
038 S	01/11/2022	11:31:43	17	258	0.92	2.2	1	AEH	ARL	2	3		South
039 S	01/11/2022	11:33:23	19	277	0.92	2.2	3	AEH	ARL	2	3		South
040 S	01/11/2022	11:34:54	17	243	0.83	2.5	1	AEH	ARL	2	3		South
041 P	01/11/2022	12:00:00	CLP	AEH	N
042 V	01/11/2022	12:00:00	2	3
043 C	01/11/2022	12:01:26	Calibration PO:271; DR:272
044 S	01/11/2022	12:23:55	20	241	1.31	1.4	1	CLP	AEH	2	3		South
045 P	01/11/2022	13:30:00	ARL	CLP	N
046 V	01/11/2022	13:30:00	2	3
047 C	01/11/2022	13:33:33	Calibration PO:268; DR:272
048 S	01/11/2022	13:39:56	21	285	1.08	1.8	2	ARL	CLP	2	3		South
049 S	01/11/2022	13:48:30	22	258	0.71	3	1	ARL	CLP	2	3		South
050 S	01/11/2022	13:49:43	23	256	1.68	1	4	ARL	CLP	2	3		South
051 S	01/11/2022	13:51:46	21	257	0.71	3	2	ARL	CLP	2	3		South
052 S	01/11/2022	13:58:22	24	266	1.68	1	1	ARL	CLP	2	3		South
053 S	01/11/2022	14:06:03	24	252	1.68	1	3	ARL	CLP	2	3		South
054 V	01/11/2022	14:08:54	2	2
055 S	01/11/2022	14:13:48	25	274	1.31	1.4	2	ARL	CLP	2	2		South
056 S	01/11/2022	14:19:54	26	243	1.47	1.2	1	ARL	CLP	2	2		South
057 S	01/11/2022	14:24:11	27	270	0.39	5.8	1	ARL	CLP	2	2		South
058 P	01/11/2022	15:00:00	AEH	ARL	N
059 V	01/11/2022	15:00:00	2	2
060 V	01/11/2022	15:08:16	3	2
061 S	01/11/2022	15:20:03	28	266	1.57	1.1	3	AEH	ARL	3	2		South
062 S	01/11/2022	15:28:35	28	251	1.47	1.2	3	AEH	ARL	3	2		South
063 S	01/11/2022	15:34:40	29	264	1.47	1.2	2	AEH	ARL	3	2		South
064 C	01/11/2022	15:36:03	Calibration PO:271; DR:269
065 S	01/11/2022	15:44:09	29	242	1.47	1.2	4	AEH	ARL	3	2		South
066 V	01/11/2022	15:50:39	4	2
067 S	01/11/2022	15:58:19	30	259	1.25	1.5	2	AEH	ARL	4	2		South
068 S	01/11/2022	16:02:08	30	253	1.25	1.5	3	AEH	ARL	4	2		South
069 P	01/11/2022	16:18:55	AEH	ARL	N
070 V	01/11/2022	16:18:55	4	4
071 C	01/11/2022	16:20:56	Unid dolphin B2-L2-H2 headed south close to shore
072 E	01/11/2022	16:30:00
