001 B	01/12/2022	07:30:00
002 P	01/12/2022	07:30:00	ARL	CLP	N
003 V	01/12/2022	07:30:00	2	3
004 C	01/12/2022	07:40:02	Calibration: 268 Observer; 273 Recorder
005 S	01/12/2022	07:50:08	1	257	1.08	1.8	3	ARL	CLP	2	3		South
006 S	01/12/2022	07:56:36	2	284	1.39	1.3	2	ARL	CLP	2	3		South
007 S	01/12/2022	07:57:42	3	255	0.78	2.7	2	ARL	CLP	2	3		South
008 S	01/12/2022	07:59:05	4	252	1.08	1.8	2	ARL	CLP	2	3		South
010 S	01/12/2022	08:03:54	2	267	1.08	1.8	2	ARL	CLP	2	3		South
011 S	01/12/2022	08:12:19	5	246	0.99	2	2	ARL	CLP	2	3	DR	South
012 S	01/12/2022	08:18:14	6	248	1.13	1.7	2	ARL	CLP	2	3		South
013 S	01/12/2022	08:24:04	7	242	1.47	1.2	1	ARL	CLP	2	3		South
014 V	01/12/2022	08:37:34	2	4
015 S	01/12/2022	08:39:15	8	258	0.71	3	1	ARL	CLP	2	4		South
016 V	01/12/2022	08:44:21	2	4
017 V	01/12/2022	08:45:01	2	4
018 S	01/12/2022	08:52:30	9	263	1.47	1.2	1	ARL	CLP	2	4		South
019 P	01/12/2022	09:00:00	AEH	ARL	N
020 V	01/12/2022	09:00:00	2	5
021 C	01/12/2022	09:00:45	Fog obscuring the horizon and most of the study area.
022 V	01/12/2022	09:29:55	2	4
023 C	01/12/2022	09:31:33	We are have little visibility for about the last reticle.
024 C	01/12/2022	09:33:14	bino calibration PO:270; DR:269
025 S	01/12/2022	09:35:47	10	258	0.99	2	1	AEH	ARL	2	4		South
026 S	01/12/2022	09:42:39	11	256	0.99	2	1	AEH	ARL	2	4	DR	South
029 V	01/12/2022	09:58:28	2	3
030 S	01/12/2022	10:28:30	13	285	1.47	1.2	1	AEH	ARL	2	3		South
031 P	01/12/2022	10:30:00	CLP	AEH	N
032 V	01/12/2022	10:30:00	2	3
033 C	01/12/2022	10:32:38	Calibration: Observer 271; Recorder 272
034 S	01/12/2022	10:39:29	14	246	0.45	5	1	CLP	AEH	2	3		South
035 C	01/12/2022	10:39:57	CLP saw one blow at 243 - no reticle, not entered as sighting, definitely not sighting 13 as too far ahead
036 S	01/12/2022	11:06:43	15	251	0.99	2	3	CLP	AEH	2	3		South
037 S	01/12/2022	11:16:19	16	266	2.12	0.7	1	CLP	AEH	2	3		South
038 S	01/12/2022	11:27:51	17	290	1.25	1.5	1	CLP	AEH	2	3		South
039 S	01/12/2022	11:32:54	16	241	1.68	1	2	CLP	AEH	2	3		South
040 V	01/12/2022	11:35:06	2	3
041 S	01/12/2022	11:48:03	18	289	1.68	1	1	CLP	AEH	2	3		South
043 S	01/12/2022	11:50:36	19	272	0.64	3.4	1	CLP	AEH	2	3		South
044 S	01/12/2022	11:51:52	20	242	1.47	1.2	1	CLP	AEH	2	3		South
045 S	01/12/2022	11:52:42	21	254	0.86	2.4	1	CLP	AEH	2	3		South
046 S	01/12/2022	11:55:19	19	244	0.62	3.5	1	CLP	AEH	2	3		South
047 S	01/12/2022	11:57:22	22	249	0.86	2.4	1	CLP	AEH	2	3		South
048 S	01/12/2022	11:58:27	23	266	0.99	2	1	CLP	AEH	2	3		South
049 P	01/12/2022	12:00:00	ARL	CLP	N
050 V	01/12/2022	12:00:00	2	3
051 C	01/12/2022	12:02:24	Calibration: Observer 267; Recorder 272
052 S	01/12/2022	12:46:12	24	268	2.12	0.7	2	ARL	CLP	2	3	DR	South
053 S	01/12/2022	12:49:41	25	289	1.08	1.8	1	ARL	CLP	2	3		South
054 S	01/12/2022	12:58:22	25	265	0.92	2.2	2	ARL	CLP	2	3		South
056 S	01/12/2022	13:01:42	25	251	0.83	2.5	2	ARL	CLP	2	3		South
057 S	01/12/2022	13:09:32	26	272	1.68	1	3	ARL	CLP	2	3		South
058 S	01/12/2022	13:17:26	26	260	1.47	1.2	3	ARL	CLP	2	3		South
059 S	01/12/2022	13:20:03	27	286	2.59	0.5	4	ARL	CLP	2	3		South
060 P	01/12/2022	13:30:00	AEH	ARL	N
061 V	01/12/2022	13:30:00	2	3
062 C	01/12/2022	13:32:07	PO: 271; DR:269
063 S	01/12/2022	13:35:30	28	283	1.68	1	1	AEH	ARL	2	3		South
064 S	01/12/2022	13:43:01	27	258	1.68	1	4	AEH	ARL	2	3		South
065 S	01/12/2022	13:46:12	28	272	1.68	1	1	AEH	ARL	2	3		South
066 S	01/12/2022	13:47:22	29	284	1.68	1.0	2	AEH	ARL	2	3		South
069 S	01/12/2022	14:09:17	31	254	1.68	1	2	AEH	ARL	2	3		South
070 C	01/12/2022	14:11:23	Grp 31 is currently stationary; rolling and showing pecs and flukes. Appear to be surrounded by a couple of G gri.
071 S	01/12/2022	14:21:53	32	247	1.08	1.8	1	AEH	ARL	2	3		South
072 S	01/12/2022	14:33:47	33	242	2.59	0.5	2	AEH	ARL	2	3		South
073 S	01/12/2022	14:45:11	34	253	1.47	1.2	2	AEH	ARL	2	3		South
074 S	01/12/2022	14:53:46	35	282	1.68	1	1	AEH	ARL	2	3		South
075 S	01/12/2022	14:58:50	36	254	0.83	2.5	2	AEH	ARL	2	3		South
076 P	01/12/2022	15:00:00	CLP	AEH	N
077 V	01/12/2022	15:00:00	2	3
078 C	01/12/2022	15:01:48	Calibration: Observer 271; Recorder 272
079 V	01/12/2022	15:02:13	2	3
080 S	01/12/2022	15:06:08	37	241	0.99	2	1	CLP	AEH	2	3		South
081 S	01/12/2022	15:10:42	38	290	1.57	1.1	3	CLP	AEH	2	3		South
083 S	01/12/2022	15:33:00	38	245	1.08	1.8	3	CLP	AEH	2	3		South
084 S	01/12/2022	15:39:29	39	267	1.08	1.8	2	CLP	AEH	2	3	DR	South
085 S	01/12/2022	15:51:54	40	250	1.25	1.5	1	CLP	AEH	2	3		South
086 S	01/12/2022	15:56:43	41	253	1.47	1.2	1	CLP	AEH	2	3		South
087 V	01/12/2022	16:03:26	2	3
088 S	01/12/2022	16:03:48	42	280	1.95	0.8	2	CLP	AEH	2	3		South
089 S	01/12/2022	16:06:02	42	276	1.68	1	3	CLP	AEH	2	3		South
090 V	01/12/2022	16:10:11	2	4
091 S	01/12/2022	16:13:09	43	289	1.25	1.5	2	CLP	AEH	2	4		South
092 S	01/12/2022	16:19:23	43	277	1.25	1.5	2	CLP	AEH	2	4		South
