#edited
001 C	02/13/2024	07:06:30	
002 B	02/13/2024	07:30:01
003 P	02/13/2024	07:30:00	ACH	MSL	N
004 V	02/13/2024	07:30:00	2	3
005 V	02/13/2024	08:11:05	2	2
006 P	02/13/2024	09:00:00	AFH	ACH	N
007 V	02/13/2024	09:00:00	2	2
008 V	02/13/2024	09:27:56	3	2
009 S	02/13/2024	10:00:49	1	288	1.13	1.7	4	AFH	ACH	3	2		South
010 S	02/13/2024	10:12:00	1	263	0.75	2.8	4	AFH	ACH	3	2		South
011 S	02/13/2024	10:24:37	2	291	1.95	0.8	2	AFH	ACH	3	2		South
012 S	02/13/2024	10:28:56	2	284	1.95	0.8	3	AFH	ACH	3	2		South
013 P	02/13/2024	10:30:00	MSL	AFH	N
014 V	02/13/2024	10:30:00	3	2
015 S	02/13/2024	10:36:46	3	279	1.47	1.2	2	MSL	AFH	3	2		South
016 S	02/13/2024	10:39:24	3	275	1.31	1.4	2	MSL	AFH	3	2		South
017 S	02/13/2024	10:44:45	3	267	1.08	1.8	2	MSL	AFH	3	2		South
018 S	02/13/2024	10:49:54	3	254	0.99	2	2	MSL	AFH	3	2		South
019 C	02/13/2024	11:06:45	groups 2 and 3 got together and are milling past the 240 line
020 V	02/13/2024	11:43:41	4	3
021 S	02/13/2024	11:44:11	4	283	0.96	2.1	1	MSL	AFH	4	3		South
022 S	02/13/2024	11:53:28	5	266	0.58	3.8	1	MSL	AFH	4	3		South
023 P	02/13/2024	12:00:00	ACH	MSL	N
024 V	02/13/2024	12:00:00	4	3
025 S	02/13/2024	12:42:25	6	251	0.83	2.5	1	ACH	MSL	4	3		South
026 S	02/13/2024	12:56:12	7	242	0.83	2.5	1	ACH	MSL	4	3		South
027 S	02/13/2024	13:04:58	8	260	0.67	3.2	2	ACH	MSL	4	3		North
028 S	02/13/2024	13:09:23	9	290	1.47	1.2	1	ACH	MSL	4	3		South
029 S	02/13/2024	13:15:40	9	286	1.25	1.5	1	ACH	MSL	4	3		South
030 S	02/13/2024	13:19:05	9	279	1.19	1.6	3	ACH	MSL	4	3		South
031 S	02/13/2024	13:26:04	9	259	0.86	2.4	3	ACH	MSL	4	3		South
032 P	02/13/2024	13:30:00	AFH	ACH	N
033 V	02/13/2024	13:30:00	4	3
034 V	02/13/2024	14:29:52	3	3
035 S	02/13/2024	14:43:31	10	290	1.47	1.2	2	AFH	ACH	3	3		South
036 S	02/13/2024	14:47:45	11	289	1.25	1.5	1	AFH	ACH	3	3		South
037 S	02/13/2024	14:58:11	11	258	0.83	2.5	1	AFH	ACH	3	3		South
038 S	02/13/2024	14:58:49	10	262	1.08	1.8	4	AFH	ACH	3	3		South
039 P	02/13/2024	15:00:00	MSL	AFH	N
040 V	02/13/2024	15:00:00	3	2
041 S	02/13/2024	15:04:47	12	279	1.04	1.9	2	MSL	AFH	3	2		South
042 S	02/13/2024	16:17:44	13	290	2.59	0.5	1	MSL	AFH	3	2		South
043 S	02/13/2024	16:28:31	14	241	0.96	2.1	2	MSL	AFH	3	2		North
044 E	02/13/2024	16:30:00
