#edited
002 B	01/09/2024	07:30:00
003 P	01/09/2024	07:30:00	ACB	ACH	N
004 V	01/09/2024	07:30:00	2	3
005 S	01/09/2024	07:31:12	1	250	0.99	2	2	ACB	ACH	2	3		South
006 S	01/09/2024	07:36:20	2	264	1.31	1.4	4	ACB	ACH	2	3		South
007 S	01/09/2024	08:07:36	3	271	1.57	1.1	3	ACB	ACH	2	3		South
008 S	01/09/2024	08:08:51	4	265	0.33	7	1	ACB	ACH	2	3		South
009 S	01/09/2024	08:35:27	5	269	1.57	1.1	1	ACB	ACH	2	3		South
010 S	01/09/2024	08:45:55	5	249	1.47	1.2	2	ACB	ACH	2	3		South
011 S	01/09/2024	08:47:17	6	290	1.95	0.8	2	ACB	ACH	2	3		South
012 S	01/09/2024	08:55:08	6	256	1.25	1.5	4	ARL	ACB	2	3		South
013 P	01/09/2024	09:00:00	ARL	ACB	N
014 V	01/09/2024	09:00:00	2	3
015 S	01/09/2024	09:17:52	7	261	1.47	1.2	4	ARL	ACB	2	3		South
016 S	01/09/2024	09:36:12	7	252	1.31	1.4	5	ARL	ACB	2	3		South
017 S	01/09/2024	09:59:55	8	276	1.95	0.8	2	ARL	ACB	2	3		South
018 S	01/09/2024	10:15:58	8	257	1.68	1	2	ARL	ACB	2	3		South
019 S	01/09/2024	10:23:45	8	252	1.68	1	4	ARL	ACB	2	3		South
020 C	01/09/2024	10:28:54	Group 8 is two subgroups of two.
021 P	01/09/2024	10:30:00	ACH	ARL	N
022 V	01/09/2024	10:30:00	2	3
023 S	01/09/2024	10:31:02	9	284	0.75	2.8	1	ACH	ARL	2	3		South
024 S	01/09/2024	10:38:58	9	247	0.62	3.5	1	ACH	ARL	2	3		South
025 S	01/09/2024	10:44:20	10	283	1.13	1.7	2	ACH	ARL	2	3		South
026 S	01/09/2024	10:52:01	10	262	0.83	2.5	2	ACH	ARL	2	3		South
027 S	01/09/2024	11:14:59	11	278	1.57	1.1	2	ACH	ARL	2	3		South
028 S	01/09/2024	11:21:22	12	288	2.12	0.7	2	ACH	ARL	2	3		South
029 S	01/09/2024	11:25:08	11	261	1.08	1.8	2	ACH	ARL	2	3		South
030 S	01/09/2024	11:27:41	12	280	1.68	1	3	ACH	ARL	2	3		South
031 S	01/09/2024	11:31:36	11	244	1.08	1.8	2	ACH	ARL	2	3		South
032 S	01/09/2024	11:36:03	12	269	1.57	1.1	3	ACH	ARL	2	3		South
033 S	01/09/2024	11:43:32	12	254	1.39	1.3	4	ACH	ARL	2	3		South
034 S	01/09/2024	11:49:34	13	265	1.95	0.8	1	ACH	ARL	2	3		South
035 S	01/09/2024	11:59:37	13	242	1.68	1	1	ACH	ARL	2	3		South
036 P	01/09/2024	12:00:00	ACB	ACH	N
037 V	01/09/2024	12:00:00	2	3
038 S	01/09/2024	12:46:37	14	241	1.39	1.3	4	ACB	ACH	2	3		South
039 S	01/09/2024	13:10:35	15	262	1.57	1.1	2	ACB	ACH	2	3		South
040 V	01/09/2024	13:11:53	2	4
041 S	01/09/2024	13:28:55	16	248	1.68	1	1	ACB	ACH	2	4		South
042 P	01/09/2024	13:30:00	ARL	ACB	N
043 V	01/09/2024	13:30:00	2	4
044 S	01/09/2024	13:31:55	17	278	1.47	1.2	4	ARL	ACB	2	4		South
045 S	01/09/2024	13:39:32	17	263	1.39	1.3	4	ARL	ACB	2	4		South
046 S	01/09/2024	13:40:56	18	277	1.47	1.2	2	ARL	ACB	2	4		South
047 S	01/09/2024	13:46:50	17	244	1.31	1.4	4	ARL	ACB	2	4		South
048 V	01/09/2024	15:00:00	2	5
049 C	01/09/2024	15:00:10	Fog
050 E	01/09/2024	15:00:21
