#edited
002 B	01/05/2024	07:30:00
003 P	01/05/2024	07:30:00	PCF	ARL	N
004 V	01/05/2024	07:30:00	2	3
005 S	01/05/2024	07:31:52	1	279	1.8	0.9	1	PCF	ARL	2	3		South
006 S	01/05/2024	07:37:25	2	249	0.86	2.4	4	PCF	ARL	2	3		South
007 S	01/05/2024	07:52:22	3	259	1.19	1.6	3	PCF	ARL	2	3		South
008 V	01/05/2024	07:53:54	2	2
009 V	01/05/2024	08:24:11	3	2
011 C	01/05/2024	08:35:04	M.nov. 2-2-2 traveling S. bearing=271, reticle = 3.1 (originally labeled group 4)
012 V	01/05/2024	08:37:29	3	3
013 S	01/05/2024	08:56:41	5	266	2.92	0.4	4	PCF	ARL	3	3		South
014 P	01/05/2024	09:00:00	JAP	PCF	N
015 V	01/05/2024	09:00:00	3	2
016 S	01/05/2024	09:03:36	5	254	2.59	0.5	4	JAP	PCF	3	2		South
017 S	01/05/2024	09:05:54	6	286	1.68	1	3	JAP	PCF	3	2		South
018 S	01/05/2024	09:11:40	5	245	2.33	0.6	5	JAP	PCF	3	2		South
019 S	01/05/2024	09:14:58	6	280	1.47	1.2	3	JAP	PCF	3	2		South
020 S	01/05/2024	09:21:10	6	265	0.99	2	3	JAP	PCF	3	2		South
021 S	01/05/2024	09:23:21	7	279	1.95	0.8	2	JAP	PCF	3	2		South
022 S	01/05/2024	09:32:10	6	250	0.92	2.2	4	JAP	PCF	3	2		South
023 S	01/05/2024	09:38:36	8	283	0.99	2	3	JAP	PCF	3	2		South
024 S	01/05/2024	09:47:46	8	255	0.71	3	4	JAP	PCF	3	2		South
025 S	01/05/2024	10:02:06	9	242	2.59	0.5	1	JAP	PCF	3	2		South
026 S	01/05/2024	10:06:53	10	287	1.68	1	1	JAP	PCF	3	2		South
027 S	01/05/2024	10:17:24	10	270	1.39	1.3	1	JAP	PCF	3	2		South
028 S	01/05/2024	10:27:08	10	262	1.25	1.5	1	JAP	PCF	3	2		South
029 P	01/05/2024	10:30:00	ARL	JAP	N
030 V	01/05/2024	10:30:00	3	2
031 S	01/05/2024	10:34:14	11	282	1.47	1.2	2	ARL	JAP	3	2		South
032 S	01/05/2024	10:40:56	11	270	1.31	1.4	2	ARL	JAP	3	2		South
033 S	01/05/2024	10:43:18	12	281	1.47	1.2	1	ARL	JAP	3	2		South
034 S	01/05/2024	10:45:47	13	288	1.95	0.8	4	ARL	JAP	3	2		South
035 S	01/05/2024	10:56:01	13	275	1.47	1.2	4	ARL	JAP	3	2		South
036 S	01/05/2024	10:57:03	12	241	1.13	1.7	1	ARL	JAP	3	2		South
037 S	01/05/2024	10:59:36	14	276	1.08	1.8	1	ARL	JAP	3	2		South
038 S	01/05/2024	11:02:23	13	268	1.39	1.3	4	ARL	JAP	3	2		South
039 S	01/05/2024	11:03:18	15	255	1.47	1.2	2	ARL	JAP	3	2		South
040 S	01/05/2024	11:06:57	14	253	0.92	2.2	2	ARL	JAP	3	2		South
041 V	01/05/2024	11:34:04	4	2
042 P	01/05/2024	12:00:00	PCF	ARL	N
043 V	01/05/2024	12:00:00	4	3
044 V	01/05/2024	12:37:49	4	4
045 C	01/05/2024	12:37:56	Reduced visibility due to increasing wind.
046 S	01/05/2024	12:46:36	16	255	1.25	1.5	1	PCF	ARL	4	4		South
047 E	01/05/2024	13:30:00
048 C	01/05/2024	13:30:00	beaufort=5, end effort
051 B	01/05/2024	15:08:21
052 P	01/05/2024	15:08:21	ARL	JAP	N
053 V	01/05/2024	15:08:21	4	4
054 S	01/05/2024	15:09:33	17	277	1.25	1.5	1	ARL	JAP	4	4		South
055 S	01/05/2024	15:12:53	18	241	1.68	1	14	ARL	JAP	4	4		South
056 S	01/05/2024	15:14:45	17	275	1.13	1.7	1	ARL	JAP	4	4		South
057 S	01/05/2024	15:16:33	19	242	1.68	1	6	ARL	JAP	4	4		South
058 S	01/05/2024	15:19:43	20	248	0.99	2	1	ARL	JAP	4	4		South
059 C	01/05/2024	15:30:00	
060 S	01/05/2024	16:13:50	21	285	0.38	6	1	ARL	JAP	4	4		South
061 S	01/05/2024	16:15:26	22	287	1.68	1	1	ARL	JAP	4	4		South
062 S	01/05/2024	16:22:38	22	275	1.25	1.5	1	ARL	JAP	4	4		South
063 E	01/05/2024	16:30:00
