001	B	01/30/2023	07:30:00											
002	P	01/30/2023	07:30:29	DWW	ACH	N								
003	V	01/30/2023	07:30:29	3	4									
004	S	01/30/2023	07:43:39	1	260	1.57	1.1	2	DWW	ACH	3	4		South
005	S	01/30/2023	07:44:15	2	264	2.12	0.7	1	DWW	ACH	3	4		South
006	S	01/30/2023	07:45:07	3	253	0.99	2	2	DWW	ACH	3	4		South
007	S	01/30/2023	07:49:22	4	262	1.31	1.4	3	DWW	ACH	3	4		South
008	S	01/30/2023	07:59:05	5	275	1.8	0.9	1	DWW	ACH	3	4		South
009	V	01/30/2023	07:59:19	3	3									
010	S	01/30/2023	08:01:59	5	273	1.47	1.2	2	DWW	ACH	3	3		South
011	S	01/30/2023	08:04:51	6	269	1.39	1.3	1	DWW	ACH	3	3		South
012	S	01/30/2023	08:13:14	7	268	1.13	1.7	1	DWW	ACH	3	3		South
013	S	01/30/2023	08:27:01	8	245	0.78	2.7	1	DWW	ACH	3	3		South
014	S	01/30/2023	08:28:35	9	283	1.25	1.5	1	DWW	ACH	3	3		South
015	S	01/30/2023	08:31:29	9	270	1.04	1.9	1	DWW	ACH	3	3		South
016	S	01/30/2023	08:32:38	10	272	1.68	1	2	DWW	ACH	3	3		South
017	S	01/30/2023	08:38:05	8	262	1.25	1.5	1	DWW	ACH	3	3		South
018	S	01/30/2023	08:38:40	9	262	1.25	1.5	1	DWW	ACH	3	3		South
019	S	01/30/2023	08:47:17	10	252	1.39	1.3	2	DWW	ACH	3	3		South
020	S	01/30/2023	08:53:02	11	284	1.08	1.8	1	DWW	ACH	3	3		South
021	P	01/30/2023	09:00:00	DXB	DWW	N								
022	V	01/30/2023	09:00:00	3	3									
023	S	01/30/2023	09:00:31	11	260	0.99	2	1	DXB	DWW	3	3		South
026	S	01/30/2023	09:04:17	11	246	0.99	2	1	DXB	DWW	3	3		South
027	S	01/30/2023	09:11:58	12	281	2.59	0.5	1	DXB	DWW	3	3		South
028	S	01/30/2023	09:16:37	12	276	2.59	0.5	1	DXB	DWW	3	3		South
029	S	01/30/2023	09:17:36	13	287	1.47	1.2	1	DXB	DWW	3	3		South
030	S	01/30/2023	09:20:52	14	281	1.08	1.8	2	DXB	DWW	3	3		South
031	S	01/30/2023	09:24:46	15	264	1.95	0.8	2	DXB	DWW	3	3		South
032	S	01/30/2023	09:29:01	14	256	0.99	2	2	DXB	DWW	3	3		South
033	S	01/30/2023	09:29:34	15	257	1.95	0.8	2	DXB	DWW	3	3		South
034	S	01/30/2023	09:32:27	13	245	1.47	1.2	2	DXB	DWW	3	3		South
035	S	01/30/2023	09:35:11	16	280	2.33	0.6	3	DXB	DWW	3	3		South
036	S	01/30/2023	09:39:12	16	278	2.33	0.6	3	DXB	DWW	3	3		South
037	S	01/30/2023	09:47:14	16	272	2.12	0.7	3	DXB	DWW	3	3		South
038	S	01/30/2023	09:55:40	17	261	1.68	1	2	DXB	DWW	3	3		South
039	C	01/30/2023	10:04:18	Grampus at 230, 500m from shore, northbound B14, H16, L12										
040	S	01/30/2023	10:06:27	17	247	1.68	1	3	DXB	DWW	3	3		South
041	S	01/30/2023	10:10:01	18	274	2.92	0.4	2	DXB	DWW	3	3		South
042	S	01/30/2023	10:14:20	19	268	0.92	2.2	2	DXB	DWW	3	3		South
043	S	01/30/2023	10:23:10	20	283	1.25	1.5	2	DXB	DWW	3	3		South
044	S	01/30/2023	10:28:32	20	271	1.08	1.8	3	DXB	DWW	3	3		South
045	P	01/30/2023	10:30:00	ACH	DXB	N								
046	V	01/30/2023	10:30:00	2	2									
049	S	01/30/2023	10:32:05	20	261	1.47	1.2	3	ACH	DXB	2	2		South
051	S	01/30/2023	10:35:35	18	252	2.33	0.6	2	ACH	DXB	2	2		South
052	C	01/30/2023	10:37:04	Grampus at 245, heading N, 2 reticles, B50, H100, L30										
053	S	01/30/2023	10:39:49	20	254	0.71	3	3	ACH	DXB	2	2		South
054	S	01/30/2023	10:42:56	22	264	0.26	9	1	ACH	DXB	2	2		South
055	S	01/30/2023	10:47:05	23	280	0.99	2	1	ACH	DXB	2	2		South
056	S	01/30/2023	10:51:12	23	274	0.99	2	1	ACH	DXB	2	2		South
058	S	01/30/2023	11:16:22	24	284	1.47	1.2	1	ACH	DXB	2	2		South
059	S	01/30/2023	11:21:48	24	271	1.04	1.9	1	ACH	DXB	2	2		South
060	S	01/30/2023	11:24:36	25	289	2.92	0.4	1	ACH	DXB	2	2		South
061	S	01/30/2023	11:25:04	25	289	2.92	0.4	2	ACH	DXB	2	2		South
062	S	01/30/2023	11:29:20	26	272	0.96	2.1	1	ACH	DXB	2	2		South
063	S	01/30/2023	11:35:54	27	277	1.47	1.2	3	ACH	DXB	2	2		South
064	S	01/30/2023	11:38:29	26	245	0.71	3	2	ACH	DXB	2	2		South
065	V	01/30/2023	11:39:38	3	3									
066	S	01/30/2023	11:42:39	28	260	1.04	1.9	1	ACH	DXB	3	3		South
067	S	01/30/2023	11:46:47	27	247	1.13	1.7	3	ACH	DXB	3	3		South
068	P	01/30/2023	12:00:00	DWW	ACH	N								
069	V	01/30/2023	12:00:00	3	3									
070	S	01/30/2023	12:06:49	29	246	0.99	2	1	DWW	ACH	3	3		South
071	S	01/30/2023	12:37:10	30	269	0.99	2	1	DWW	ACH	3	3		South
072	S	01/30/2023	12:38:46	31	259	1.19	1.6	1	DWW	ACH	3	3		South
073	S	01/30/2023	12:41:51	30	250	0.92	2.2	1	DWW	ACH	3	3		South
075	S	01/30/2023	12:44:55	32	273	1.08	1.8	1	DWW	ACH	3	3		South
076	S	01/30/2023	12:48:53	33	286	1.68	1	2	DWW	ACH	3	3		South
077	S	01/30/2023	12:52:56	32	254	1.13	1.7	1	DWW	ACH	3	3		South
078	S	01/30/2023	12:54:25	33	276	1.47	1.2	2	DWW	ACH	3	3		South
080	S	01/30/2023	12:59:01	34	284	0.75	2.8	1	DWW	ACH	3	3		South
081	S	01/30/2023	12:59:39	33	263	1.31	1.4	2	DWW	ACH	3	3		South
082	S	01/30/2023	13:02:38	35	287	1.8	0.9	2	DWW	ACH	3	3		South
083	S	01/30/2023	13:04:29	36	286	1.8	0.9	1	DWW	ACH	3	3		South
084	S	01/30/2023	13:05:45	33	248	1.19	1.6	2	DWW	ACH	3	3		South
085	S	01/30/2023	13:08:42	34	251	0.5	4.5	1	DWW	ACH	3	3		South
086	S	01/30/2023	13:14:13	36	273	1.47	1.2	1	DWW	ACH	3	3		South
087	S	01/30/2023	13:24:40	36	250	1.19	1.6	1	DWW	ACH	3	3		South
088	P	01/30/2023	13:30:00	DXB	DWW	N								
089	V	01/30/2023	13:30:00	2	2									
090	S	01/30/2023	13:45:42	37	287	1.47	1.2	1	DXB	DWW	2	2		South
091	S	01/30/2023	13:59:03	37	258	1.08	1.8	2	DXB	DWW	2	2		South
