001	B	02/20/2023	07:30:00											
002	P	02/20/2023	07:30:15	SRB	KAF	N								
003	V	02/20/2023	07:30:15	2	4									
004	S	02/20/2023	07:41:52	1	261	1.25	1.5	1	SRB	KAF	2	4		South
005	V	02/20/2023	08:36:49	2	3									
006	V	02/20/2023	08:54:46	2	4									
007	P	02/20/2023	09:00:00	DWW	SRB	N								
008	V	02/20/2023	09:00:00	3	4									
009	V	02/20/2023	09:20:24	3	3									
010	P	02/20/2023	10:30:00	KAF	DWW	N								
011	V	02/20/2023	10:30:00	3	3									
014	S	02/20/2023	11:18:50	3	241	0.86	2.4	1	KAF	DWW	3	3		South
015	V	02/20/2023	11:44:31	2	3									
016	P	02/20/2023	12:00:28	SRB	KAF	N								
017	V	02/20/2023	12:00:28	2	2									
019	S	02/20/2023	12:28:06	5	279	0.55	4	1	SRB	KAF	2	3		South
021	S	02/20/2023	12:33:55	5	252	0.56	3.9	2	SRB	KAF	2	3		South
022	P	02/20/2023	13:30:00	DWW	SRB	N								
023	V	02/20/2023	13:30:00	2	3									
024	S	02/20/2023	13:47:47	6	282	1.47	1.2	1	DWW	SRB	2	3		South
025	S	02/20/2023	13:55:55	6	260	1.39	1.3	1	DWW	SRB	2	3		South
026	S	02/20/2023	13:58:37	6	250	1.39	1.3	2	DWW	SRB	2	3		South
027	P	02/20/2023	15:00:00	KAF	DWW	N								
028	V	02/20/2023	15:00:00	3	3									
029	V	02/20/2023	15:07:39	4	3									
030	S	02/20/2023	15:12:14	7	254	0.41	5.5	1	KAF	DWW	4	3		South
033	E	02/20/2023	16:30:00											
