001	B	02/07/2023	07:30:00											
003	P	02/07/2023	07:30:00	DXB	NMK	N								
004	V	02/07/2023	07:30:00	2	3									
005	V	02/07/2023	07:41:50	3	3									
006	S	02/07/2023	07:48:54	1	286	0.99	2	1	DXB	NMK	3	3		South
007	S	02/07/2023	07:51:41	1	280	1.08	1.8	1	DXB	NMK	3	3		South
008	S	02/07/2023	07:55:07	1	275	1.08	1.8	2	DXB	NMK	3	3		South
009	S	02/07/2023	07:58:27	1	260	0.99	2	2	DXB	NMK	3	3		South
010	S	02/07/2023	08:01:30	1	250	0.99	2	2	DXB	NMK	3	3		South
011	V	02/07/2023	08:24:48	4	3									
012	S	02/07/2023	08:41:19	2	277	1.47	1.2	1	DXB	NMK	4	3		South
013	P	02/07/2023	09:00:00	AEH	DXB	N								
014	V	02/07/2023	09:00:28	4	3									
015	S	02/07/2023	09:05:03	3	278	1.25	1.5	1	AEH	DXB	4	3		South
016	S	02/07/2023	09:06:33	3	275	1.47	1.2	1	AEH	DXB	4	3		South
017	S	02/07/2023	09:09:20	3	268	1.57	1.1	2	AEH	DXB	4	3		South
018	S	02/07/2023	09:14:35	3	260	1.68	1	2	AEH	DXB	4	3		South
019	V	02/07/2023	09:44:29	4	4									
020	S	02/07/2023	10:10:37	4	276	0.99	2	1	AEH	DXB	4	4		South
021	S	02/07/2023	10:12:49	4	264	0.96	2.1	2	AEH	DXB	4	4		South
022	S	02/07/2023	10:18:52	5	272	0.92	2.2	2	AEH	DXB	4	4		South
023	S	02/07/2023	10:22:45	5	253	0.92	2.2	2	AEH	DXB	4	4		South
024	V	02/07/2023	10:29:11	5	4									
025	E	02/07/2023	10:30:00											
