001	B	01/12/2023	07:30:00											
002	P	01/12/2023	07:30:00	VLP	ACH	N								
003	V	01/12/2023	07:30:00	3	3									
004	S	01/12/2023	07:48:41	1	260	1.08	1.8	1	VLP	ACH	3	3		South
005	S	01/12/2023	07:51:45	2	272	1.47	1.2	2	VLP	ACH	3	3		South
006	S	01/12/2023	07:55:57	1	241	1.25	1.5	1	VLP	ACH	3	3		South
007	S	01/12/2023	07:57:46	2	260	1.25	1.5	2	VLP	ACH	3	3		South
009	S	01/12/2023	08:08:04	4	245	1.39	1.3	4	VLP	ACH	3	3		South
010	S	01/12/2023	08:10:27	5	252	1.08	1.8	1	VLP	ACH	3	3		South
015	S	01/12/2023	08:38:10	6	266	0.99	2	1	ARL	VLP	3	3		South
016	S	01/12/2023	08:39:08	7	242	0.99	2	1	ARL	VLP	3	3		South
017	S	01/12/2023	08:44:10	6	245	0.99	2	1	ARL	VLP	3	3		South
018	V	01/12/2023	08:54:53	3	2									
018	P	01/12/2023	09:00:00	ARL	VLP	N								
018	V	01/12/2023	09:00:00	3	2									
019	S	01/12/2023	09:04:40	8	280	0.67	3.2	2	ARL	VLP	3	2		South
020	S	01/12/2023	09:17:08	8	262	0.53	4.2	2	ARL	VLP	3	2		South
021	S	01/12/2023	09:22:10	10	266	1.25	1.5	1	ARL	VLP	3	2		South
022	S	01/12/2023	09:27:47	10	251	1.25	1.5	1	ARL	VLP	3	2		South
024	S	01/12/2023	09:34:53	11	259	1.08	1.8	1	ARL	VLP	3	2		South
025	S	01/12/2023	09:40:37	12	266	1.25	1.5	1	ARL	VLP	3	2		South
026	S	01/12/2023	09:51:57	13	250	1.13	1.7	2	ARL	VLP	3	2		South
027	S	01/12/2023	09:54:35	14	263	1.25	1.5	1	ARL	VLP	3	2		South
028	S	01/12/2023	10:01:22	15	280	1.47	1.2	3	ARL	VLP	3	2		South
029	S	01/12/2023	10:05:56	14	242	1.08	1.8	1	ARL	VLP	3	2		South
030	S	01/12/2023	10:12:17	16	283	1.25	1.5	1	ARL	VLP	3	2		South
031	S	01/12/2023	10:13:34	17	285	1.95	0.8	1	ARL	VLP	3	2		South
032	S	01/12/2023	10:14:32	15	265	1.39	1.3	3	ARL	VLP	3	2		South
033	S	01/12/2023	10:21:58	16	264	0.92	2.2	1	ARL	VLP	3	2		South
034	S	01/12/2023	10:24:38	15	247	1.25	1.5	3	ARL	VLP	3	2		South
035	P	01/12/2023	10:30:00	ACH	ARL	N								
036	V	01/12/2023	10:30:00	3	2									
037	S	01/12/2023	10:33:07	18	247	0.71	3	1	ACH	ARL	3	2		South
038	S	01/12/2023	10:38:03	17	243	1.13	1.7	2	ACH	ARL	3	2		South
039	V	01/12/2023	11:01:27	4	3									
040	S	01/12/2023	11:04:46	19	245	1.46	1.21	1	ACH	ARL	4	3		South
041	S	01/12/2023	11:15:43	20	282	1.68	1	1	ACH	ARL	4	3		South
042	S	01/12/2023	11:46:56	21	270	1.39	1.3	2	ACH	ARL	4	3		South
043	S	01/12/2023	11:50:60	21	259	1.47	1.2	1	ACH	ARL	4	3		South
045	S	01/12/2023	11:58:35	23	282	0.33	7	1	ACH	ARL	4	3		South
046	P	01/12/2023	12:00:03	VLP	ACH	N								
047	V	01/12/2023	12:00:03	4	3									
048	S	01/12/2023	12:00:37	23	262	0.29	8	1	VLP	ACH	4	3		South
049	S	01/12/2023	12:11:41	24	249	1.47	1.2	2	VLP	ACH	4	3		South
050	S	01/12/2023	12:24:47	25	244	1.47	1.2	1	VLP	ACH	4	3		South
051	V	01/12/2023	12:43:22	4	4									
052	P	01/12/2023	13:30:00	ARL	VLP	N								
053	V	01/12/2023	13:30:00	4	4									
054	S	01/12/2023	13:41:33	26	270	1.68	1	1	ARL	VLP	4	4		South
055	S	01/12/2023	13:52:38	27	272	1.47	1.2	1	ARL	VLP	4	4		South
056	S	01/12/2023	14:00:53	27	262	1.47	1.2	2	ARL	VLP	4	4		South
057	S	01/12/2023	14:08:11	28	281	1.47	1.2	1	ARL	VLP	4	4		South
058	S	01/12/2023	14:40:47	29	249	1.47	1.2	4	ARL	VLP	4	4		South
059	S	01/12/2023	14:54:00	30	256	1.39	1.3	1	ARL	VLP	4	4		South
060	P	01/12/2023	15:00:00	ACH	ARL	N								
061	V	01/12/2023	15:00:00	4	4									
062	S	01/12/2023	15:37:10	31	275	1.47	1.2	1	ACH	ARL	4	4		South
063	S	01/12/2023	15:42:18	31	266	1.13	1.7	1	ACH	ARL	4	4		South
064	S	01/12/2023	15:45:23	31	255	1.08	1.8	1	ACH	ARL	4	4		South
065	S	01/12/2023	15:51:04	31	245	0.99	2	1	ACH	ARL	4	4		South
066	S	01/12/2023	15:53:17	32	244	1.08	1.8	2	ACH	ARL	4	4		South
067	S	01/12/2023	16:28:60	33	250	0.92	2.2	1	ACH	ARL	4	4		South
068	E	01/12/2023	16:30:00											
