001	B	02/03/2023	07:30:00											
002	P	02/03/2023	07:30:00	DXB	DWW	N								
003	V	02/03/2023	07:30:00	3	4									
004	S	02/03/2023	07:32:25	1	245	1.47	1.2	2	DXB	DWW	3	4		South
005	S	02/03/2023	07:39:47	2	255	1.25	1.5	3	DXB	DWW	3	4		South
006	S	02/03/2023	07:54:41	3	241	1.68	1	1	DXB	DWW	3	4		South
007	S	02/03/2023	07:59:44	4	274	0.62	3.5	2	DXB	DWW	3	4		South
008	S	02/03/2023	08:02:08	5	285	2.92	0.4	1	DXB	DWW	3	4		South
009	S	02/03/2023	08:03:10	4	255	0.62	3.5	2	DXB	DWW	3	4		South
010	S	02/03/2023	08:06:41	5	278	1.95	0.8	1	DXB	DWW	3	4		South
011	S	02/03/2023	08:12:48	5	267	1.68	1	1	DXB	DWW	3	4		South
012	S	02/03/2023	08:18:32	6	271	1.8	0.9	2	DXB	DWW	3	4		South
013	S	02/03/2023	08:19:25	5	255	1.25	1.5	2	DXB	DWW	3	4		South
014	S	02/03/2023	08:22:59	6	265	1.95	0.8	2	DXB	DWW	3	4		South
015	E	02/03/2023	08:26:16											
016	B	02/03/2023	08:44:24											
017	P	02/03/2023	08:44:24	DXB	DWW	N								
018	V	02/03/2023	08:44:24	3	4									
019	P	02/03/2023	09:00:00	ACH	DXB	N								
020	V	02/03/2023	09:00:00	3	4									
021	V	02/03/2023	09:09:46	3	5									
022	E	02/03/2023	09:10:01											
023	B	02/03/2023	09:26:60											
024	P	02/03/2023	09:26:60	ACH	DXB	N								
025	V	02/03/2023	09:26:60	3	4									
026	S	02/03/2023	09:38:53	7	265	1.68	1	1	ACH	DXB	3	4		South
028	S	02/03/2023	10:10:58	8	245	1.25	1.5	1	ACH	DXB	3	4		South
029	S	02/03/2023	10:21:46	9	280	0.99	2	1	ACH	DXB	3	4		South
030	S	02/03/2023	10:23:39	9	275	0.99	2	1	ACH	DXB	3	4		South
031	P	02/03/2023	10:30:00	DWW	ACH	N								
032	V	02/03/2023	10:30:00	3	4									
033	S	02/03/2023	10:30:39	9	252	0.92	2.2	1	DWW	ACH	3	4		South
034	V	02/03/2023	10:56:08	4	4									
035	V	02/03/2023	11:14:38	4	5									
036	E	02/03/2023	11:14:50											
037	B	02/03/2023	12:00:00											
038	P	02/03/2023	12:00:00	DXB	DWW	N								
039	V	02/03/2023	12:03:30	4	4									
040	S	02/03/2023	12:07:46	10	289	2.92	0.4	1	DXB	DWW	4	4		South
041	S	02/03/2023	12:13:39	10	283	2.59	0.5	1	DXB	DWW	4	4		South
042	V	02/03/2023	12:24:57	5	5									
043	E	02/03/2023	12:26:58											
044	B	02/03/2023	13:58:00											
045	P	02/03/2023	13:58:00	ACH	DXB	N								
046	V	02/03/2023	13:58:00	4	4									
047	S	02/03/2023	14:03:37	11	257	0.99	2	2	ACH	DXB	4	4		South
048	C	02/03/2023	14:08:52	Tursiops 240 degrees, 8 ret, heading north, B=1										
049	S	02/03/2023	14:30:44	12	282	2.59	0.5	1	ACH	DXB	4	4		South
050	S	02/03/2023	14:35:40	13	284	2.59	0.5	1	ACH	DXB	4	4		South
051	S	02/03/2023	14:41:49	13	280	2.59	0.5	2	ACH	DXB	4	4		South
052	S	02/03/2023	14:43:18	12	271	2.12	0.7	2	ACH	DXB	4	4		South
053	S	02/03/2023	14:46:17	13	276	2.59	0.5	2	ACH	DXB	4	4		South
054	S	02/03/2023	14:51:03	13	273	2.59	0.5	2	ACH	DXB	4	4		South
055	S	02/03/2023	14:54:37	12	257	2.12	0.7	2	ACH	DXB	4	4		South
056	P	02/03/2023	15:00:00	DWW	ACH	N								
057	V	02/03/2023	15:00:04	4	3									
058	S	02/03/2023	15:37:58	14	279	2.59	0.5	1	DWW	ACH	4	3		South
059	S	02/03/2023	16:12:40	15	289	1.19	1.6	1	DWW	ACH	4	3		South
060	S	02/03/2023	16:13:36	16	274	2.12	0.7	1	DWW	ACH	4	3		South
061	S	02/03/2023	16:17:45	16	272	1.95	0.8	1	DWW	ACH	4	3		South
062	V	02/03/2023	16:18:28	3	4									
063	S	02/03/2023	16:20:16	16	271	1.95	0.8	1	DWW	ACH	3	4		South
064	S	02/03/2023	16:23:18	15	265	1.13	1.7	2	DWW	ACH	3	4		South
065	S	02/03/2023	16:28:18	17	288	2.59	0.5	2	DWW	ACH	3	4		South
066	E	02/03/2023	16:30:00											
