001	B	02/10/2023	07:30:00											
002	P	02/10/2023	07:30:00	DXB	NMK	N								
003	V	02/10/2023	07:30:00	3	4									
004	S	02/10/2023	07:38:29	1	284	1.08	1.8	1	DXB	NMK	3	4		South
005	S	02/10/2023	07:40:42	1	278	1.13	1.7	1	DXB	NMK	3	4		South
006	S	02/10/2023	07:41:11	1	278	1.13	1.7	2	DXB	NMK	3	4		South
007	S	02/10/2023	07:43:45	1	268	1.04	1.9	6	DXB	NMK	3	4		South
010	S	02/10/2023	07:51:15	1	257	0.99	2	6	DXB	NMK	3	4		South
011	S	02/10/2023	07:51:24	1	257	0.99	2	6	DXB	NMK	3	4		South
012	S	02/10/2023	07:57:57	1	245	0.96	2.1	6	DXB	NMK	3	4		South
013	V	02/10/2023	08:03:20	4	4									
014	S	02/10/2023	08:25:55	2	285	1.47	1.2	1	DXB	NMK	4	4		South
015	S	02/10/2023	08:30:34	2	277	1.13	1.7	1	DXB	NMK	4	4		South
016	S	02/10/2023	08:32:59	2	272	1.19	1.6	1	DXB	NMK	4	4		South
017	S	02/10/2023	08:34:02	2	268	1.19	1.6	2	DXB	NMK	4	4		South
018	S	02/10/2023	08:38:31	2	257	1.13	1.7	2	DXB	NMK	4	4		South
019	S	02/10/2023	08:51:08	3	290	1.19	1.6	2	DXB	NMK	4	4		South
020	S	02/10/2023	08:56:35	3	276	0.92	2.2	2	DXB	NMK	4	4		South
021	S	02/10/2023	08:59:21	3	262	0.83	2.5	3	DXB	NMK	4	4		South
022	P	02/10/2023	09:00:00	AEH	DXB	N								
023	V	02/10/2023	09:00:00	4	4									
024	S	02/10/2023	09:02:51	3	252	0.86	2.4	4	AEH	DXB	4	4		South
025	S	02/10/2023	09:42:45	4	279	1.25	1.5	1	AEH	DXB	4	4		South
026	S	02/10/2023	09:44:55	4	274	1.25	1.5	1	AEH	DXB	4	4		South
027	S	02/10/2023	09:49:28	4	262	1.08	1.8	1	AEH	DXB	4	4		South
028	S	02/10/2023	09:54:05	4	243	1.08	1.8	1	AEH	DXB	4	4		South
029	V	02/10/2023	09:54:13	4	5									
030	E	02/10/2023	09:54:36											
031	B	02/10/2023	13:33:36											
032	P	02/10/2023	13:33:36	AEH	DXB	N								
033	V	02/10/2023	13:33:36	4	3									
034	S	02/10/2023	13:49:50	5	288	1.47	1.2	1	AEH	DXB	4	3		South
035	S	02/10/2023	13:52:07	5	286	1.47	1.2	1	AEH	DXB	4	3		South
036	S	02/10/2023	14:03:16	6	283	1.68	1	2	AEH	DXB	4	3		South
037	S	02/10/2023	14:03:57	6	282	1.68	1	3	AEH	DXB	4	3		South
038	S	02/10/2023	14:10:06	6	277	1.39	1.3	3	AEH	DXB	4	3		South
039	V	02/10/2023	14:11:17	4	4									
040	S	02/10/2023	14:18:32	6	258	1.31	1.4	3	AEH	DXB	4	4		South
041	V	02/10/2023	14:52:19	4	5									
042	E	02/10/2023	14:52:25											
