001	B	01/13/2023	07:30:00											
002	P	01/13/2023	07:30:00	ARL	VLP	N								
003	V	01/13/2023	07:30:00	4	4									
004	C	01/13/2023	07:38:59	VERY LARGE SWELL/BLOCKING VISABILITY										
005	S	01/13/2023	07:40:49	1	271	1.95	0.8	1	ARL	VLP	4	4		South
006	V	01/13/2023	08:11:46	5	5									
007	C	01/13/2023	08:11:53	HIGH WIND AND RAIN										
008	E	01/13/2023	08:12:05											
009	B	01/13/2023	12:32:20											
010	P	01/13/2023	12:32:20	ARL	VLP	N								
011	V	01/13/2023	12:32:20	4	4									
012	S	01/13/2023	12:59:37	2	267	1.47	1.2	1	ARL	VLP	4	4		South
013	S	01/13/2023	13:01:38	2	264	1.39	1.3	2	ARL	VLP	4	4		South
014	P	01/13/2023	13:30:00	ACH	ARL	N								
015	V	01/13/2023	13:30:00	4	4									
016	C	01/13/2023	13:31:31	Fog is obscuring much of the horizon.										
017	P	01/13/2023	15:00:52	VLP	ACH	N								
018	V	01/13/2023	15:00:52	4	4									
019	S	01/13/2023	16:00:28	3	272	1.68	1	1	VLP	ACH	4	4		South
020	S	01/13/2023	16:04:59	4	246	1.47	1.2	1	VLP	ACH	4	4		South
021	E	01/13/2023	16:30:00											
