001	B	02/23/2023	07:30:00											
002	P	02/23/2023	07:30:11	SRB	KAF	N								
003	V	02/23/2023	07:30:11	2	3									
004	V	02/23/2023	07:44:29	3	4									
006	V	02/23/2023	08:40:35	4	4									
007	P	02/23/2023	09:00:00	DWW	SRB	N								
008	V	02/23/2023	09:00:00	3	4									
009	V	02/23/2023	09:24:40	3	3									
010	P	02/23/2023	10:30:00	KAF	DWW	N								
011	V	02/23/2023	10:30:00	3	3									
012	V	02/23/2023	10:56:20	5	3									
013	E	02/23/2023	10:56:48											
014	B	02/23/2023	11:16:42											
015	P	02/23/2023	11:16:42	KAF	DWW	N								
016	V	02/23/2023	11:16:42	3	3									
019	V	02/23/2023	11:40:40	4	3									
020	P	02/23/2023	12:00:00	SRB	KAF	N								
021	V	02/23/2023	12:00:00	4	3									
024	V	02/23/2023	12:43:28	4	4									
026	P	02/23/2023	13:30:00	DWW	SRB	N								
027	V	02/23/2023	13:30:10	4	4									
032	P	02/23/2023	15:00:00	KAF	DWW	N								
033	V	02/23/2023	15:00:36	4	4									
040	V	02/23/2023	15:53:08	5	4									
041	E	02/23/2023	15:53:16											
