001	B	01/16/2023	07:49:09											
002	P	01/16/2023	07:49:09	KXD	VLP	N								
003	V	01/16/2023	07:49:09	3	3									
004	C	01/16/2023	07:50:12	LATE START DUE TO RAIN/AND VISABILITY										
005	S	01/16/2023	07:55:56	1	289	2.59	0.5	1	KXD	VLP	3	3		South
006	S	01/16/2023	08:00:11	1	283	2.59	0.5	1	KXD	VLP	3	3		South
007	S	01/16/2023	08:05:21	1	277	1.68	1	2	KXD	VLP	3	3		South
008	S	01/16/2023	08:13:30	1	277	1.68	1	2	KXD	VLP	3	3		South
009	S	01/16/2023	08:13:43	2	270	1.25	1.5	2	KXD	VLP	3	3		South
010	S	01/16/2023	08:21:42	1	249	1.68	1	2	KXD	VLP	3	3		South
011	S	01/16/2023	08:22:60	3	260	1.39	1.3	2	KXD	VLP	3	3		South
012	V	01/16/2023	08:27:13	4	3									
013	S	01/16/2023	08:28:37	3	243	1.39	1.3	2	KXD	VLP	4	3		South
015	S	01/16/2023	08:52:29	5	255	1.39	1.3	2	KXD	VLP	4	3		South
016	P	01/16/2023	09:00:00	PCF	KXD	N								
017	V	01/16/2023	09:00:00	4	3									
018	S	01/16/2023	09:13:26	6	241	1.25	1.5	1	PCF	KXD	4	3		South
019	S	01/16/2023	09:14:28	7	245	1.31	1.4	1	PCF	KXD	4	3		South
020	V	01/16/2023	10:12:22	4	4									
021	V	01/16/2023	10:16:38	5	5									
022	E	01/16/2023	10:17:06											
023	B	01/16/2023	10:30:01											
024	P	01/16/2023	10:30:01	VLP	PCF	N								
025	V	01/16/2023	10:30:01	4	4									
026	S	01/16/2023	10:31:32	8	242	1.47	1.2	1	VLP	PCF	4	4		South
027	S	01/16/2023	10:35:48	9	274	0.83	2.5	1	VLP	PCF	4	4		South
029	V	01/16/2023	10:45:33	3	3									
030	S	01/16/2023	10:54:58	8	253	1.25	1.5	2	VLP	PCF	3	3		South
031	S	01/16/2023	10:57:53	8	252	1.25	1.5	2	VLP	PCF	3	3		South
033	S	01/16/2023	11:04:38	11	242	1.47	1.2	1	VLP	PCF	3	3		South
034	V	01/16/2023	11:16:08	4	4									
035	E	01/16/2023	11:21:23											
036	C	01/16/2023	11:21:39	VIS 5										
037	B	01/16/2023	13:44:04											
038	P	01/16/2023	13:44:04	PCF	KXD	N								
039	V	01/16/2023	13:44:04	3	3									
040	S	01/16/2023	13:46:36	12	249	1.8	0.9	1	VLP	KXD	4	3		South
041	S	01/16/2023	13:51:25	12	241	1.57	1.1	1	VLP	KXD	4	3		South
043	S	01/16/2023	14:13:54	13	284	1.68	1	2	PCF	KXD	3	3		South
049	S	01/16/2023	14:18:37	13	278	1.68	1	4	PCF	KXD	3	3		South
050	S	01/16/2023	14:28:52	13	258	1.68	1	4	PCF	KXD	3	3		South
051	S	01/16/2023	14:33:49	13	248	1.39	1.3	5	PCF	KXD	3	3		South
052	S	01/16/2023	14:39:40	14	287	1.95	0.8	1	PCF	KXD	3	3		South
053	S	01/16/2023	14:40:15	15	288	2.59	0.5	1	PCF	KXD	3	3		South
054	S	01/16/2023	14:44:32	16	265	1.39	1.3	1	PCF	KXD	3	3		South
055	S	01/16/2023	14:51:40	16	247	1.19	1.6	1	PCF	KXD	3	3		South
056	P	01/16/2023	15:00:00	VLP	PCF	N								
057	V	01/16/2023	15:00:00	3	3									
058	S	01/16/2023	15:23:23	17	264	1.68	1	1	VLP	PCF	3	3		South
059	S	01/16/2023	15:24:50	18	283	1.95	0.8	2	VLP	PCF	3	3		South
060	S	01/16/2023	15:32:54	18	267	1.47	1.2	2	VLP	PCF	3	3		South
061	S	01/16/2023	15:39:04	18	249	1.39	1.3	3	VLP	PCF	3	3		South
062	S	01/16/2023	15:42:36	19	274	1.68	1	1	VLP	PCF	3	3		South
063	S	01/16/2023	15:45:56	20	245	1.68	1	1	VLP	PCF	3	3		South
064	S	01/16/2023	15:48:07	19	262	1.47	1.2	2	VLP	PCF	3	3		South
065	S	01/16/2023	15:50:54	21	282	1.47	1.2	1	VLP	PCF	3	3		South
066	V	01/16/2023	15:52:16	4	4									
067	C	01/16/2023	15:52:46	SUN GLARE										
068	S	01/16/2023	15:54:07	21	277	1.47	1.2	1	VLP	PCF	4	4		South
069	S	01/16/2023	15:56:09	22	286	1.95	0.8	1	VLP	PCF	4	4		South
070	S	01/16/2023	16:01:29	21	260	1.19	1.6	1	VLP	PCF	4	4		South
071	S	01/16/2023	16:05:56	22	268	1.68	1	2	VLP	PCF	4	4		South
072	S	01/16/2023	16:06:22	24	268	0.92	2.2	1	VLP	PCF	4	4		South
074	S	01/16/2023	16:10:32	24	254	0.89	2.3	1	VLP	PCF	4	4		South
075	S	01/16/2023	16:19:01	25	266	1.95	0.8	1	VLP	PCF	4	4		South
076	E	01/16/2023	16:30:00											
