SOUTH TRAILER												
083 S	1/14/2010	11.21583	39	246	0.92	2.2	1	arl	tsw	2	2	
084 S	1/14/2010	11.30472	40	277	1.19	1.6	3	arl	tsw	2	2	
085 S	1/14/2010	11.40444	41	256	1.25	1.5	1	arl	tsw	2	2	
086 S	1/14/2010	11.42083	40	265	1.08	1.8	3	arl	tsw	2	2	
087 S	1/14/2010	11.51278	42	247	0.75	2.8	1	arl	tsw	2	2	
088 S	1/14/2010	11.59556	40	229	0.99	2	3	arl	tsw	2	2	
089 S	1/14/2010	11.63722	43	240	0.99	2	1	arl	tsw	2	2	
090 S	1/14/2010	11.65472	44	250	0.99	2	2	arl	tsw	2	2	
091 S	1/14/2010	11.67417	45	254	1.39	1.3	2	arl	tsw	2	2	
092 S	1/14/2010	11.72694	46	252	0.8	2.6	2	arl	tsw	2	2	
093 S	1/14/2010	11.76861	45	240	1.39	1.3	2	arl	tsw	2	2	
094 S	1/14/2010	11.91417	47	252	1.25	1.5	1	arl	tsw	2	2	
095 S	1/14/2010	11.96278	47	231	1.25	1.5	4	arl	tsw	2	2	
096 P	1/14/2010	12.00083	vlp	arl								
097 V	1/14/2010	12.00083	2	3								
098 S	1/14/2010	12.05278	48	251	1.95	0.8	1	vlp	arl	2	2	
099 S	1/14/2010	12.36722	49	249	1.68	1	2	vlp	arl	2	2	
100 S	1/14/2010	12.58972	50	231	1.68	1	2	vlp	arl	2	2	
101 S	1/14/2010	12.61111	49	221	1.68	1	3	vlp	arl	2	2	
102 S	1/14/2010	12.71139	51	259	2.59	0.5	1	vlp	arl	2	2	
103 S	1/14/2010	12.79694	52	281	2.12	0.7	1	vlp	arl	2	2	
104 S	1/14/2010	12.84556	51	249	2.33	0.6	6	vlp	arl	2	2	
105 S	1/14/2010	12.99472	52	260	1.68	1	4	vlp	arl	2	2	
106 S	1/14/2010	13.03306	53	235	1.95	0.8	1	vlp	arl	2	2	
107 S	1/14/2010	13.04861	51	231	2.33	0.6	6	vlp	arl	2	2	
108 V	1/14/2010	13.07528	2	2								
109 S	1/14/2010	13.08167	52	247	1.68	1	4	vlp	arl	2	2	
110 P	1/14/2010	13.50167	tsw	vlp								
111 V	1/14/2010	13.50167	2	2								
112 S	1/14/2010	13.51083	54	244	1.47	1.2	1	tsw	vlp	2	2	
113 S	1/14/2010	13.55167	55	280	1.95	0.8	2	tsw	vlp	2	2	
114 S	1/14/2010	13.87139	55	244	1.19	1.6	2	tsw	vlp	2	2	
115 S	1/14/2010	13.9725	56	228	1.39	1.3	2	tsw	vlp	2	2	
116 S	1/14/2010	14.10528	57	254	0.56	3.9	1	tsw	vlp	2	2	
117 S	1/14/2010	14.20944	57	222	0.62	3.5	1	tsw	vlp	2	2	
118 S	1/14/2010	14.33639	58	244	1.68	1	1	tsw	vlp	2	2	
119 S	1/14/2010	14.4075	58	235	1.68	1	2	tsw	vlp	2	2	
120 S	1/14/2010	14.51222	58	220	1.68	1	2	tsw	vlp	2	2	
121 S	1/14/2010	14.54194	59	264	1.47	1.2	1	tsw	vlp	2	2	
122 S	1/14/2010	14.65194	60	275	1.8	0.9	4	tsw	vlp	2	2	
123 S	1/14/2010	14.66556	61	270	1.95	0.8	2	tsw	vlp	2	2	
124 C	1/14/2010	14.72										delphinus sighting  1.2 reticle @ 265
125 S	1/14/2010	14.78194	62	237	0.86	2.4	1	tsw	vlp	2	2	
126 S	1/14/2010	14.83111	61	249	1.68	1	4	tsw	vlp	2	2	
127 S	1/14/2010	14.84	60	247	1.25	1.5	4	tsw	vlp	2	2	
128 S	1/14/2010	14.85694	63	260	1.8	0.9	1	tsw	vlp	2	2	
129 S	1/14/2010	14.86278	64	249	1.8	0.9	1	tsw	vlp	2	2	
130 S	1/14/2010	14.87556	65	263	0.99	2	1	tsw	vlp	2	2	
131 C	1/14/2010	14.90083										dolphins playinG around 1.8 reticals @232
