NORTH TRAILER												
001 B	2/9/2010	7.50611										
002 P	2/9/2010	7.50611	JWG	CSM								
003 V	2/9/2010	7.50611	4	3								
004 C	2/9/2010	7.52306										OBS BEARING = 293
005 S	2/9/2010	7.54056	1	228	1.04	1.9	1	JWG	CSM	4	3	
006 S	2/9/2010	7.55	2	224	0.89	2.3	1	JWG	CSM	4	3	
007 S	2/9/2010	7.69889	3	258	0.99	2	0	JWG	CSM	4	3	
008 S	2/9/2010	8.15472	4	245	1.08	1.8	1	JWG	CSM	4	3	
009 S	2/9/2010	8.89833	5	230	0.83	2.5	3	JWG	CSM	4	3	
010 S	2/9/2010	8.96194	5	211	0.83	2.5	3	JWG	CSM	4	3	
011 P	2/9/2010	9.01694	LTB	JWG								
012 V	2/9/2010	9.01694	5	4								
013 C	2/9/2010	9.03194										OBS BEARING = 294
014 V	2/9/2010	9.11028	4	4								
015 E	2/9/2010	9.21139										
016 C	2/9/2010	9.21222										OFF EFFORT FOR RAIN
017 B	2/9/2010	9.385										
018 P	2/9/2010	9.385	LTB	JWG								
019 V	2/9/2010	9.385	4	4								
020 C	2/9/2010	9.38917										BACK ON EFFORT AFTER A RAIN SQUALL
021 S	2/9/2010	9.99278	6	256	0.39	5.8	1	LTB	JWG	4	4	
022 S	2/9/2010	10	7	252	0.58	3.8	1	LTB	JWG	4	4	
023 S	2/9/2010	10.18333	8	232	0.55	4	1	LTB	JWG	4	4	
024 S	2/9/2010	10.19139	9	235	0.38	6	1	LTB	JWG	4	4	
025 E	2/9/2010	10.52194										
026 C	2/9/2010	10.52222										RAIN SQUALL OFF EFFORT
027 B	2/9/2010	11.11917										
028 P	2/9/2010	11.11917	DWW	LTB								
029 V	2/9/2010	11.11917	4	3								
030 C	2/9/2010	11.12806										OBS BEARING = 293
031 S	2/9/2010	11.2725	10	204	1.68	1	1	DWW	LTB	4	3	
032 P	2/9/2010	12.04389	CSM	DWW								
033 V	2/9/2010	12.04389	4	3								
034 C	2/9/2010	12.06306										OBS BEARING = 293
035 V	2/9/2010	12.34417	5	3								
036 S	2/9/2010	12.81417	11	229	1.08	1.8	1	CSM	DWW	5	3	
037 S	2/9/2010	12.90222	11	207	1.13	1.7	1	CSM	DWW	5	3	
038 P	2/9/2010	13.50528	JWG	CSM								
039 V	2/9/2010	13.50528	5	3								
040 C	2/9/2010	13.51972										OBS BEARING = 293
041 S	2/9/2010	14.24833	12	252	0.71	3	2	JWG	CSM	5	3	
042 S	2/9/2010	14.31972	12	226	0.55	4	2	JWG	CSM	5	3	
043 S	2/9/2010	14.335	12	226	0.55	4	3	JWG	CSM	5	3	
044 P	2/9/2010	15.00278	LTB	JWG								
045 V	2/9/2010	15.00278	5	4								
046 C	2/9/2010	15.02917										OBS BEARING 293
047 S	2/9/2010	15.14306	13	275	1.08	1.8	1	LTB	JWG	5	4	
048 S	2/9/2010	15.28583	13	248	0.64	3.4	1	LTB	JWG	5	4	
049 S	2/9/2010	15.31056	14	242	0.45	5	1	LTB	JWG	5	4	
050 S	2/9/2010	15.35639	15	243	0.64	3.4	1	LTB	JWG	5	4	
051 S	2/9/2010	15.38167	15	236	0.62	3.5	1	LTB	JWG	5	4	
052 S	2/9/2010	15.4775	16	230	0.58	3.8	1	LTB	JWG	5	4	
053 S	2/9/2010	15.485	16	230	0.58	3.8	2	LTB	JWG	5	4	
054 S	2/9/2010	15.58333	17	255	0.62	3.5	1	LTB	JWG	5	4	
055 V	2/9/2010	15.58639	4	3								
056 S	2/9/2010	15.5975	18	268	0.65	3.3	1	LTB	JWG	4	3	
057 S	2/9/2010	15.62889	18	260	0.55	4	1	LTB	JWG	4	3	
058 S	2/9/2010	15.69278	19	272	0.83	2.5	1	LTB	JWG	4	3	
059 S	2/9/2010	15.90667	20	269	0.62	3.5	2	LTB	JWG	4	3	
060 S	2/9/2010	15.96694	20	254	0.53	4.2	2	LTB	JWG	4	3	
061 S	2/9/2010	16.05028	20	223	0.45	5	2	LTB	JWG	4	3	
062 E	2/9/2010	16.50083										
