SOUTH TRAILER												
001 P	1/21/2010	9.10361	JWD	JPB								
002 V	1/21/2010	9.10361	5	4								
003 B	1/21/2010	9.25306										
004 P	1/21/2010	9.25306	JWD	JPB								
005 V	1/21/2010	9.25306	5	3								
006 C	1/21/2010	9.25889										HORIZON FUZZY
007 S	1/21/2010	9.35361	1	258	1.13	1.7	1	JWD	JPB	5	3	
008 S	1/21/2010	9.43306	1	247	0.99	2	1	JWD	JPB	5	3	
009 S	1/21/2010	9.43694	2	262	0.71	3	1	JWD	JPB	5	3	
010 S	1/21/2010	9.50722	3	264	1.57	1.1	2	JWD	JPB	5	3	
011 S	1/21/2010	9.575	3	265	1.39	1.3	2	JWD	JPB	5	3	
012 S	1/21/2010	9.58944	4	260	1.95	0.8	1	JWD	JPB	5	3	
013 S	1/21/2010	9.70028	4	252	1.8	0.9	1	JWD	JPB	5	3	
014 S	1/21/2010	9.73528	3	251	1.57	1.1	2	JWD	JPB	5	3	
015 S	1/21/2010	9.76694	4	247	1.8	0.9	1	JWD	JPB	5	3	
016 S	1/21/2010	9.77917	5	247	2.12	0.7	2	JWD	JPB	5	3	
017 C	1/21/2010	9.82083										HORIZON OK
018 S	1/21/2010	9.87944	6	271	1.57	1.1	1	JWD	JPB	5	3	
019 S	1/21/2010	9.93417	7	254	1.95	0.8	1	JWD	JPB	5	3	
020 S	1/21/2010	9.955	8	286	1.39	1.3	2	JWD	JPB	5	3	
021 S	1/21/2010	10.0225	6	264	1.47	1.2	1	JWD	JPB	5	3	
022 S	1/21/2010	10.09528	9	288	2.92	0.4	1	JWD	JPB	5	3	
023 S	1/21/2010	10.10889	10	273	1.47	1.2	1	JWD	JPB	5	3	
024 S	1/21/2010	10.19806	8	268	1.04	1.9	2	JWD	JPB	5	3	
025 S	1/21/2010	10.21917	11	246	2.92	0.4	1	JWD	JPB	5	3	
026 V	1/21/2010	10.22528	5	3								
027 S	1/21/2010	10.29472	12	261	1.47	1.2	1	JWD	JPB	5	3	
028 S	1/21/2010	10.335	8	239	0.99	2	2	JWD	JPB	5	3	
029 P	1/21/2010	10.50361	DWW	JWD								
030 V	1/21/2010	10.50361	5	3								
031 S	1/21/2010	10.74278	13	285	2.12	0.7	1	DWW	JWD	5	3	
032 C	1/21/2010	11.06694										HORIZON FUZZY
033 C	1/21/2010	11.17639										HORIZON GONE
034 V	1/21/2010	11.20278	5	4								
035 V	1/21/2010	11.20639	6	4								
036 V	1/21/2010	11.21639	6	5								
037 E	1/21/2010	11.21833										
038 C	1/21/2010	11.21889										"OFF EFFORT, RAIN MOVING IN"
039 B	1/21/2010	12.07167										
040 P	1/21/2010	12.07167	JPB	DWW								
041 V	1/21/2010	12.07167	4	3								
042 C	1/21/2010	12.09056										CLEAR HORIZON
043 S	1/21/2010	12.23611	14	284	2.59	0.5	1	JPB	DWW	4	3	
044 S	1/21/2010	12.4075	14	275	2.12	0.7	2	JPB	DWW	4	3	
045 S	1/21/2010	12.48472	14	269	2.12	0.7	2	JPB	DWW	4	3	
046 S	1/21/2010	12.60472	15	261	1.68	1	1	JPB	DWW	4	3	
047 S	1/21/2010	12.68694	15	251	1.47	1.2	1	JPB	DWW	4	3	
048 S	1/21/2010	12.74639	14	249	1.95	0.8	2	JPB	DWW	4	3	
049 S	1/21/2010	12.83861	15	235	1.47	1.2	1	JPB	DWW	4	3	
050 S	1/21/2010	12.88583	16	277	1.95	0.8	2	JPB	DWW	4	3	
051 S	1/21/2010	13.01222	16	273	1.68	1	2	JPB	DWW	4	3	
052 V	1/21/2010	13.05861	4	4								
053 C	1/21/2010	13.08417										HORIZON NOT VISIBLE
054 P	1/21/2010	13.095	JPB	DWW								
055 V	1/21/2010	13.095	4	4								
056 V	1/21/2010	13.10278	4	5								
057 E	1/21/2010	13.10667										
058 B	1/21/2010	13.15056										
059 P	1/21/2010	13.15056	JPB	DWW								
060 V	1/21/2010	13.15056	5	4								
061 C	1/21/2010	13.15639										FUZZY HORIZON
062 C	1/21/2010	13.37667										NO HORIZON 245-270
063 C	1/21/2010	13.40833										VIS 5 270-290
064 C	1/21/2010	13.47722										HORIZON FUZZY ENTIRE AREA
065 C	1/21/2010	13.48222										VIS = 4 ENTIRE AREA
066 P	1/21/2010	13.49806	JWD	JPB								
067 V	1/21/2010	13.49806	5	4								
068 C	1/21/2010	13.51639										HORIZON STILL FUZZY 275-300
069 C	1/21/2010	13.64389										HORIZON OK NOW
070 V	1/21/2010	13.65556	5	4								
071 V	1/21/2010	13.835	5	3								
072 S	1/21/2010	13.88222	17	255	1.57	1.1	1	JWD	JPB	5	3	
073 S	1/21/2010	13.96333	17	249	1.47	1.2	1	JWD	JPB	5	3	
074 S	1/21/2010	14.03167	17	246	1.57	1.1	1	JWD	JPB	5	3	
075 S	1/21/2010	14.29694	18	287	3.65	0.25	1	JWD	JPB	5	3	
076 S	1/21/2010	14.34861	19	278	1.95	0.8	1	JWD	JPB	5	3	
077 S	1/21/2010	14.40722	19	274	1.8	0.9	1	JWD	JPB	5	3	
078 S	1/21/2010	14.44194	19	272	1.95	0.8	1	JWD	JPB	5	3	
079 S	1/21/2010	14.51944	20	283	3.37	0.3	3	JWD	JPB	5	3	
080 S	1/21/2010	14.56472	19	264	1.68	1	1	JWD	JPB	5	3	
