Edited North Trailer 12 Feb 2011 (DWW)
001 B	02/12/2011	07:30:03
002 P	02/12/2011	07:30:03	MSL	DWW	N
003 V	02/12/2011	07:30:03	1	3
004 C	02/12/2011	07:30:34	OBS REF = 273 MSL, 273 DWW
005 S	02/12/2011	08:09:02	1	258	1.47	1.2	1	MSL	DWW	1	3		South
006 S	02/12/2011	08:26:38	1	231	1.08	1.8	1	MSL	DWW	1	3		South
007 P	02/12/2011	08:59:58	KRS	MSL	N
008 V	02/12/2011	08:59:58	1	3
009 C	02/12/2011	09:00:18	OBS REF=275, REC REF=274
010 C	02/12/2011	09:24:20	SMALL BOAT ANCHORED AT RET 3.0, 198. PUTTING DIVERS IN WATER.
011 C	02/12/2011	10:22:24	GRAMPUS 100+ 2.0 RET, 286, MILLING BUT GENERALLY SOUTHBOUND
012 S	02/12/2011	10:29:58	2	278	0.51	4.4	1	KRS	MSL	1	3		South
013 P	02/12/2011	10:32:53	DWW	KRS	N
014 V	02/12/2011	10:32:53	1	2
015 C	02/12/2011	10:33:24	OBS REF=272, REC REF=274 KRS
016 C	02/12/2011	11:05:22	HARBOR PORPOISES GROUP OF  ~15 HEADED NORTH 4.5 @231
017 V	02/12/2011	11:53:23	1	1
018 P	02/12/2011	12:02:16	MSL	DWW	N
019 V	02/12/2011	12:02:16	1	1
020 C	02/12/2011	12:02:26	OBS REF = 272 MSL, 273 DWW
021 S	02/12/2011	12:06:42	3	262	0.71	3	1	MSL	DWW	1	1		South
022 S	02/12/2011	12:12:27	3	240	0.65	3.3	1	MSL	DWW	1	1		South
023 S	02/12/2011	12:17:11	3	220	0.71	3	1	MSL	DWW	1	1		South
024 S	02/12/2011	13:21:40	4	242	0.92	2.2	1	MSL	DWW	1	1		South
025 S	02/12/2011	13:28:05	4	231	0.86	2.4	1	MSL	DWW	1	1		South
026 P	02/12/2011	13:29:58	KRS	MSL	N
027 V	02/12/2011	13:29:58	1	1
028 C	02/12/2011	13:30:18	OBS REF=274, REC REF=272
029 S	02/12/2011	13:42:00	5	242	0.99	2	2	KRS	MSL	1	1		North
030 S	02/12/2011	13:50:53	5	267	1.25	1.5	2	KRS	MSL	1	1		North
031 S	02/12/2011	14:07:19	5	289	1.95	0.8	2	KRS	MSL	1	1		North
032 S	02/12/2011	14:22:30	6	278	1.68	1	2	KRS	MSL	1	1		South
033 S	02/12/2011	14:23:15	7	210	0.65	3.3	1	KRS	MSL	1	1		North
034 S	02/12/2011	14:25:18	7	231	0.71	3	1	KRS	MSL	1	1		North
035 S	02/12/2011	14:26:44	6	272	1.47	1.2	2	KRS	MSL	1	1		South
036 S	02/12/2011	14:29:44	6	268	1.47	1.2	2	KRS	MSL	1	1		South
037 S	02/12/2011	14:30:33	7	251	0.75	2.8	1	KRS	MSL	1	1		North
038 S	02/12/2011	14:33:15	7	270	0.86	2.4	1	KRS	MSL	1	1		North
039 S	02/12/2011	14:33:43	6	261	1.25	1.5	2	KRS	MSL	1	1		South
040 S	02/12/2011	14:36:42	7	278	0.99	2	1	KRS	MSL	1	1		North
041 S	02/12/2011	14:40:57	6	244	1.08	1.8	2	KRS	MSL	1	1		South
042 S	02/12/2011	14:43:47	6	237	0.99	2	2	KRS	MSL	1	1		South
043 S	02/12/2011	14:44:43	8	258	1.25	1.5	1	KRS	MSL	1	1		South
044 S	02/12/2011	14:47:47	6	228	0.99	2	2	KRS	MSL	1	1		South
045 S	02/12/2011	14:52:12	8	242	0.99	2	1	KRS	MSL	1	1		South
046 S	02/12/2011	14:59:11	8	215	1.04	1.9	1	KRS	MSL	1	1		South
047 P	02/12/2011	15:00:42	DWW	KRS	N
048 V	02/12/2011	15:00:42	1	1
049 C	02/12/2011	15:00:50	OBS REF = 272 DWW, REC REF = 274 KRS
050 S	02/12/2011	15:17:13	9	198	1.25	1.5	2	DWW	KRS	1	1		North
051 S	02/12/2011	15:23:17	9	214	1.08	1.8	2	DWW	KRS	1	1		North
052 S	02/12/2011	15:31:59	9	241	1.08	1.8	2	DWW	KRS	1	1		North
053 S	02/12/2011	15:40:45	9	264	1.19	1.6	2	DWW	KRS	1	1		North
054 S	02/12/2011	15:46:06	10	253	1.08	1.8	1	DWW	KRS	1	1		South
055 S	02/12/2011	15:48:22	9	278	1.47	1.2	2	DWW	KRS	1	1		North
056 S	02/12/2011	15:52:41	10	235	0.99	2	1	DWW	KRS	1	1		South
057 S	02/12/2011	15:54:42	10	230	0.99	2	1	DWW	KRS	1	1		South
058 E	02/12/2011	16:30:03
