Edited South Trailer 11 Jan 2011 (SJC/DWW)
001 B	01/11/2011	07:30:00
002 P	01/11/2011	07:30:00	NEB	SEH	S
003 V	01/11/2011	07:30:00	3	3
004 C	01/11/2011	07:30:31	obs ref 300, 300
005 S	01/11/2011	07:32:32	1	249	1.47	1.2	1	NEB	SEH	3	3		South
006 S	01/11/2011	07:33:18	2	274	1.68	1	1	NEB	SEH	3	3		South
007 S	01/11/2011	07:38:54	3	221	1.08	1.8	2	NEB	SEH	3	3		South
008 S	01/11/2011	07:41:12	2	262	1.80	0.9	2	NEB	SEH	3	3		South
009 S	01/11/2011	07:44:07	4	253	1.08	1.8	1	NEB	SEH	3	3		South
010 S	01/11/2011	07:47:38	2	241	1.57	1.1	2	NEB	SEH	3	3		South
011 S	01/11/2011	07:54:36	5	285	1.95	0.8	1	NEB	SEH	3	3		South
012 C	01/11/2011	07:56:06	many small grampus groups scattered around study area.
013 S	01/11/2011	08:00:32	6	290	2.12	0.7	1	NEB	SEH	3	3		South
014 S	01/11/2011	08:01:53	5	280	1.68	1	1	NEB	SEH	3	3		South
015 S	01/11/2011	08:05:42	6	285	1.95	0.8	1	NEB	SEH	3	3		South
016 S	01/11/2011	08:07:51	6	283	1.8	0.9	1	NEB	SEH	3	3		South
017 S	01/11/2011	08:13:52	6	273	1.68	1	1	NEB	SEH	3	3		South
018 S	01/11/2011	08:17:12	5	253	1.08	1.8	1	NEB	SEH	3	3		South
019 S	01/11/2011	08:24:29	6	255	1.47	1.2	1	NEB	SEH	3	3		South
020 S	01/11/2011	08:25:30	7	256	0.83	2.5	0	NEB	SEH	3	3		South
021 S	01/11/2011	08:26:53	8	262	0.55	4	1	NEB	SEH	3	3		South
022 S	01/11/2011	08:28:00	6	250	1.47	1.2	2	NEB	SEH	3	3		South
023 S	01/11/2011	08:28:45	7	242	0.89	2.3	0	NEB	SEH	3	3		South
024 S	01/11/2011	08:34:43	9	240	0.92	2.2	1	NEB	SEH	3	3		South
025 S	01/11/2011	08:36:03	10	248	1.47	1.2	2	NEB	SEH	3	3		South
026 S	01/11/2011	08:36:23	11	250	0.99	2	1	NEB	SEH	3	3		South
027 S	01/11/2011	08:40:13	12	281	1.57	1.1	1	NEB	SEH	3	3		South
028 S	01/11/2011	08:47:12	13	279	1.47	1.2	1	NEB	SEH	3	3		South
029 S	01/11/2011	08:48:07	14	277	2.12	0.7	1	NEB	SEH	3	3		South
030 S	01/11/2011	08:49:13	13	277	1.47	1.2	1	NEB	SEH	3	3		South
031 S	01/11/2011	08:50:09	15	282	1.68	1	2	NEB	SEH	3	3		South
032 S	01/11/2011	08:54:17	16	266	1.13	1.7	1	NEB	SEH	3	3		South
033 S	01/11/2011	08:59:53	16	254	1.08	1.8	1	NEB	SEH	3	3		South
034 S	01/11/2011	09:01:02	17	277	1.47	1.2	3	NEB	SEH	3	3		South
035 P	01/11/2011	09:02:30	SJC	NEB	S
036 V	01/11/2011	09:02:30	3	3
037 C	01/11/2011	09:03:48	obs ref, SJC = 300, NEB = 302
038 S	01/11/2011	09:05:22	18	266	1.57	1.1	5	SJC	NEB	3	3		South
039 S	01/11/2011	09:08:36	19	294	1.95	0.8	3	SJC	NEB	3	3		South
040 S	01/11/2011	09:09:52	20	295	1.19	1.6	3	SJC	NEB	3	3		South
041 S	01/11/2011	09:11:21	18	266	1.39	1.3	5	SJC	NEB	3	3		South
042 S	01/11/2011	09:13:40	20	292	1.19	1.6	3	SJC	NEB	3	3		South
043 S	01/11/2011	09:14:34	19	290	1.95	0.8	3	SJC	NEB	3	3		South
044 S	01/11/2011	09:17:13	20	285	0.96	2.1	3	SJC	NEB	3	3		South
045 C	01/11/2011	09:17:29	grampus bothering group 20 
046 S	01/11/2011	09:18:40	18	272	1.57	1.1	5	SJC	NEB	3	3		South
047 S	01/11/2011	09:19:21	20	275	0.96	2.1	3	SJC	NEB	3	3		South
048 C	01/11/2011	09:22:19	3.5ret , 251, grampus BHL 10, 20, 5
049 S	01/11/2011	09:23:43	18	253	1.39	1.3	5	SJC	NEB	3	3		South
050 C	01/11/2011	09:23:49	group 18, has spread out
051 S	01/11/2011	09:24:14	20	260	0.73	2.9	3	SJC	NEB	3	3		South
052 S	01/11/2011	09:25:01	19	280	1.57	1.1	3	SJC	NEB	3	3		South
053 S	01/11/2011	09:27:31	19	275	1.47	1.2	3	SJC	NEB	3	3		South
054 S	01/11/2011	09:30:23	20	234	0.78	2.7	3	SJC	NEB	3	3		South
055 S	01/11/2011	09:33:07	18	249	1.39	1.3	5	SJC	NEB	3	3		South
056 C	01/11/2011	09:33:51	Group 18 is back together, all 5 animals
057 S	01/11/2011	09:34:57	21	265	1.47	1.2	2	SJC	NEB	3	3		South
058 S	01/11/2011	09:35:18	19	255	1.39	1.3	3	SJC	NEB	3	3		South
059 C	01/11/2011	09:36:22	18    240   1.47  1.2   5     SJC   NEB   3     3 
060 S	01/11/2011	09:37:03	19	252	1.39	1.3	3	SJC	NEB	3	3		South
061 S	01/11/2011	09:40:50	21	260	1.39	1.3	2	SJC	NEB	3	3		South
062 S	01/11/2011	09:43:29	22	257	0.62	3.5	1	SJC	NEB	3	3		South
063 S	01/11/2011	09:47:43	21	252	1.25	1.5	2	SJC	NEB	3	3		South
064 V	01/11/2011	09:50:10	4	3
065 S	01/11/2011	09:50:54	21	240	1.25	1.5	2	SJC	NEB	4	3		South
066 S	01/11/2011	09:51:44	23	293	2.12	0.7	1	SJC	NEB	4	3		South
067 S	01/11/2011	09:56:01	24	290	2.12	0.7	2	SJC	NEB	4	3		South
068 S	01/11/2011	10:02:40	24	283	1.95	0.8	3	SJC	NEB	4	3		South
069 S	01/11/2011	10:10:05	24	275	1.8	0.9	3	SJC	NEB	4	3		South
070 S	01/11/2011	10:16:43	25	288	1.95	0.8	1	SJC	NEB	4	3		South
071 S	01/11/2011	10:19:06	24	263	1.68	1	3	SJC	NEB	4	3		South
072 S	01/11/2011	10:19:37	25	284	1.95	0.8	2	SJC	NEB	4	3		South
073 S	01/11/2011	10:26:14	24	252	1.57	1.1	3	SJC	NEB	4	3		South
074 S	01/11/2011	10:28:22	24	249	1.57	1.1	3	SJC	NEB	4	3		South
075 S	01/11/2011	10:29:27	25	276	1.95	0.8	2	SJC	NEB	4	3		South
076 S	01/11/2011	10:31:51	24	248	1.47	1.2	3	SJC	NEB	4	3		South
077 P	01/11/2011	10:33:10	SEH	SJC	S
078 V	01/11/2011	10:33:10	4	3
