001 B	02/06/2020	07:30:00
002 P	02/06/2020	07:30:00	MSL	PCF	N
003 V	02/06/2020	07:30:00	3	3
004 S	02/06/2020	07:40:04	1	262	1.57	1.1	3	MSL	PCF	3	3		South
005 S	02/06/2020	07:44:37	2	243	1.25	1.5	1	MSL	PCF	3	3		South
006 S	02/06/2020	07:45:00	1	253	1.47	1.2	3	MSL	PCF	3	3		South
007 S	02/06/2020	07:51:29	3	270	1.39	1.3	1	MSL	PCF	3	3		South
008 S	02/06/2020	07:52:27	4	283	1.68	1	1	MSL	PCF	3	3		South
009 S	02/06/2020	07:59:36	3	249	1.47	1.2	1	MSL	PCF	3	3		South
010 S	02/06/2020	08:02:33	4	268	1.25	1.5	1	MSL	PCF	3	3		South
011 S	02/06/2020	08:07:16	4	255	1.08	1.8	2	MSL	PCF	3	3		South
012 S	02/06/2020	08:10:20	4	245	1.08	1.8	2	MSL	PCF	3	3		South
013 V	02/06/2020	08:14:16	2	3
014 S	02/06/2020	08:27:51	5	280	1.19	1.6	1	MSL	PCF	2	3		South
015 S	02/06/2020	08:30:55	6	252	1.25	1.5	1	MSL	PCF	2	3		South
016 S	02/06/2020	08:37:59	7	270	1.57	1.1	1	MSL	PCF	2	3		South
017 S	02/06/2020	08:39:14	8	260	1.25	1.5	3	MSL	PCF	2	3		South
018 S	02/06/2020	08:41:10	8	257	1.25	1.5	3	MSL	PCF	2	3		South
019 S	02/06/2020	08:41:52	7	262	1.57	1.1	1	MSL	PCF	2	3		South
020 S	02/06/2020	08:42:58	8	252	1.25	1.5	3	MSL	PCF	2	3		South
021 S	02/06/2020	08:46:31	7	250	1.47	1.2	1	MSL	PCF	2	3		South
022 S	02/06/2020	08:49:46	9	255	1.25	1.5	1	MSL	PCF	2	3		South
023 S	02/06/2020	08:53:29	10	255	1.68	1	1	MSL	PCF	2	3		South
024 S	02/06/2020	08:54:28	9	245	1.25	1.5	1	MSL	PCF	2	3		South
025 S	02/06/2020	08:56:44	11	250	0.24	10	1	MSL	PCF	2	3		South
026 P	02/06/2020	09:00:00	BLT	MSL	N
027 V	02/06/2020	09:00:00	2	3
