086 P	1/21/2020	12:00:44	BLH	ARL	N								
087 V	1/21/2020	12:00:44	3	2									
088 S	1/21/2020	12:02:34	45	283	1.13	1.7	1	BLH	ARL	3	2		South
089 C	1/21/2020	12:03:20	"bino calibration obs = 253, rec = 252"										
090 S	1/21/2020	12:08:39	46	281	1.04	1.9	1	BLH	ARL	3	2		South
091 S	1/21/2020	12:09:55	47	290	1.04	1.9	1	BLH	ARL	3	2		South
092 S	1/21/2020	12:10:47	48	290	1.13	1.7	1	BLH	ARL	3	2		South
093 S	1/21/2020	12:15:47	45	247	0.96	2.1	3	BLH	ARL	3	2		South
094 S	1/21/2020	12:18:15	48	277	0.99	2	1	BLH	ARL	3	2		South
095 S	1/21/2020	12:18:29	47	274	0.67	3.2	1	BLH	ARL	3	2		South
096 S	1/21/2020	12:18:52	46	263	0.71	3	1	BLH	ARL	3	2		South
097 S	1/21/2020	12:22:59	49	288	1.8	0.9	2	BLH	ARL	3	2		South
098 S	1/21/2020	12:24:56	48	257	0.96	2.1	1	BLH	ARL	3	2		South
099 S	1/21/2020	12:36:17	49	281	1.57	1.1	1	BLH	ARL	3	2		South
100 S	1/21/2020	12:36:59	49	271	1.57	1.1	2	BLH	ARL	3	2		South
101 S	1/21/2020	12:37:47	51	258	0.92	2.2	1	BLH	ARL	3	2		South
102 S	1/21/2020	12:39:25	52	284	1.68	1	2	BLH	ARL	3	2		South
103 S	1/21/2020	12:42:08	53	260	1.19	1.6	1	BLH	ARL	3	2		South
104 S	1/21/2020	12:47:17	52	267	1.47	1.2	2	BLH	ARL	3	2		South
105 S	1/21/2020	12:48:30	49	256	1.47	1.2	2	BLH	ARL	3	2		South
108 S	1/21/2020	12:53:02	52	253	1.25	1.5	2	BLH	ARL	3	2		South
110 S	1/21/2020	12:58:06	55	266	1.39	1.3	1	BLH	ARL	3	2		South
111 S	1/21/2020	13:01:08	54	253	0.71	3	2	BLH	ARL	3	2		South
112 S	1/21/2020	13:02:03	56	260	0.92	2.2	1	BLH	ARL	3	2		South
114 S	1/21/2020	13:11:34	57	276	1.47	1.2	1	BLH	ARL	3	2		South
115 S	1/21/2020	13:20:26	58	289	1.68	1	1	BLH	ARL	3	2		South
116 S	1/21/2020	13:26:34	59	281	1.68	1	1	BLH	ARL	3	2		South
117 S	1/21/2020	13:27:37	57	249	1.13	1.7	1	BLH	ARL	3	2		South
119 S	1/21/2020	13:34:55	58	274	1.31	1.4	1	BLH	ARL	3	2		South
120 S	1/21/2020	13:36:38	59	276	1.47	1.2	1	BLH	ARL	3	2		South
121 P	1/21/2020	13:39:31	KXD	BLH	N								
122 V	1/21/2020	13:39:31	3	3									
123 S	1/21/2020	13:45:56	59	260	1.25	1.5	1	KXD	BLH	3	3		South
124 S	1/21/2020	13:46:40	58	251	1.47	1.2	1	KXD	BLH	3	3		South
125 S	1/21/2020	13:49:22	61	270	1.68	1	1	KXD	BLH	3	3		South
126 S	1/21/2020	13:53:41	62	283	1.39	1.3	1	KXD	BLH	3	3		South
127 S	1/21/2020	13:53:54	63	274	0.55	4	1	KXD	BLH	3	3		South
128 S	1/21/2020	14:01:58	64	271	1.47	1.2	1	KXD	BLH	3	3		South
129 S	1/21/2020	14:02:07	65	268	0.71	3	1	KXD	BLH	3	3		South
130 S	1/21/2020	14:07:13	64	260	1.68	1	1	KXD	BLH	3	3		South
131 S	1/21/2020	14:10:04	64	248	1.47	1.2	3	KXD	BLH	3	3		South
132 V	1/21/2020	14:15:37	3	4									
133 C	1/21/2020	14:16:13	changed vis to 4 due to very low light										
134 S	1/21/2020	14:17:16	66	263	1.47	1.2	2	KXD	BLH	3	4		South
135 S	1/21/2020	14:23:16	67	269	1.25	1.5	1	KXD	BLH	3	4		South
136 S	1/21/2020	14:23:48	66	251	1.47	1.2	2	KXD	BLH	3	4		South
137 S	1/21/2020	14:26:32	68	270	1.25	1.5	1	KXD	BLH	3	4		South
138 S	1/21/2020	14:35:33	69	276	1.25	1.5	2	KXD	BLH	3	4		South
139 S	1/21/2020	14:39:04	69	266	1.25	1.5	2	KXD	BLH	3	4		South
140 S	1/21/2020	14:43:03	70	245	0.99	2	1	KXD	BLH	3	4		South
141 S	1/21/2020	14:43:54	69	251	1.25	1.5	2	KXD	BLH	3	4		South
142 P	1/21/2020	15:00:29	ARL	KXD	N								
143 V	1/21/2020	15:00:29	3	4									
144 S	1/21/2020	15:16:35	71	289	1.13	1.7	4	ARL	KXD	3	4		South
145 S	1/21/2020	15:17:07	72	285	2.12	0.7	1	ARL	KXD	3	4		South
146 V	1/21/2020	15:19:07	4	4									
147 S	1/21/2020	15:29:19	71	280	0.89	2.3	4	ARL	KXD	4	4		South
148 S	1/21/2020	15:31:32	72	267	1.68	1	1	ARL	KXD	4	4		South
149 S	1/21/2020	15:33:58	71	268	0.83	2.5	4	ARL	KXD	4	4		South
150 S	1/21/2020	15:40:32	73	282	1.68	1	2	ARL	KXD	4	4		South
151 S	1/21/2020	15:42:52	72	257	1.47	1.2	5	ARL	KXD	4	4		South
155 S	1/21/2020	15:51:35	74	277	0.53	4.2	1	ARL	KXD	4	4		South
156 S	1/21/2020	15:52:48	73	269	1.39	1.3	2	ARL	KXD	4	4		South
157 S	1/21/2020	16:00:08	75	275	0.99	2	3	ARL	KXD	4	4		South
158 S	1/21/2020	16:03:10	76	289	1.68	1	2	ARL	KXD	4	4		South
159 S	1/21/2020	16:10:15	75	247	0.92	2.2	3	ARL	KXD	4	4		South
160 S	1/21/2020	16:12:24	77	281	1.68	1	1	ARL	KXD	4	4		South
161 S	1/21/2020	16:20:17	78	283	0.92	2.2	2	ARL	KXD	4	4		South
162 S	1/21/2020	16:28:56	78	261	0.71	3	2	ARL	KXD	4	4		South
163 E	1/21/2020	16:30:06											
