080 C	01/31/2020	13:41:48	
081 S	01/31/2020	13:44:05	35	274	1.25	1.5	2	BLH	CLP	3	2		South
082 S	01/31/2020	13:44:16	36	282	1.39	1.3	1	BLH	CLP	3	2		South
085 V	01/31/2020	13:48:59	3	2
086 C	01/31/2020	13:49:30	Had to shut computer down, it froze
087 C	01/31/2020	13:50:19	#36: re-sight 1.2 ret @ 272 @1347
088 C	01/31/2020	13:50:55	#35: re-sight 1.6 ret @ 257 (2 GW) @ 1351
089 S	01/31/2020	13:56:51	37	282	1.57	1.1	1	BLH	CLP	3	2		South
090 S	01/31/2020	14:09:15	38	289	2.12	0.7	1	BLH	CLP	3	2		South
091 S	01/31/2020	14:09:41	39	278	0.89	2.3	1	BLH	CLP	3	2		South
092 S	01/31/2020	14:12:03	37	254	1.08	1.8	1	BLH	CLP	3	2		South
093 S	01/31/2020	14:15:33	39	257	0.67	3.2	1	BLH	CLP	3	2		South
094 S	01/31/2020	14:16:29	40	283	1.68	1	2	BLH	CLP	3	2		South
095 S	01/31/2020	14:24:18	41	279	1.57	1.1	2	BLH	CLP	3	2		South
096 S	01/31/2020	14:35:46	41	259	1.39	1.3	2	BLH	CLP	3	2		South
097 S	01/31/2020	14:52:30	42	286	1.57	1.1	1	BLH	CLP	3	2		South
098 S	01/31/2020	14:56:33	43	268	0.99	2	1	BLH	CLP	3	2		South
099 S	01/31/2020	14:59:29	42	278	1.31	1.4	1	BLH	CLP	3	2		South
100 P	01/31/2020	15:01:19	KXD	BLH	N
101 V	01/31/2020	15:01:19	3	2
102 S	01/31/2020	15:02:29	43	249	0.83	2.5	1	KXD	BLH	3	2		South
103 S	01/31/2020	15:04:22	44	273	1.25	1.5	1	KXD	BLH	3	2		South
104 C	01/31/2020	15:04:26	mixed school bottlenose and rissos dolphins milling 4 ret 238 bearing, 8-10-6
105 S	01/31/2020	15:06:43	45	241	0.99	2	1	KXD	BLH	3	2		South
106 S	01/31/2020	15:11:58	46	242	2.59	0.5	1	KXD	BLH	3	2		South
107 S	01/31/2020	15:15:30	47	270	1.25	1.5	1	KXD	BLH	3	2		South
108 S	01/31/2020	15:17:38	48	285	1.68	1	2	KXD	BLH	3	2		South
109 S	01/31/2020	15:22:12	48	283	1.68	1	2	KXD	BLH	3	2		South
110 S	01/31/2020	15:23:45	49	290	1.95	0.8	1	KXD	BLH	3	2		South
111 S	01/31/2020	15:25:32	50	278	1.25	1.5	2	KXD	BLH	3	2		South
112 S	01/31/2020	15:26:23	47	249	1.08	1.8	1	KXD	BLH	3	2		South
113 S	01/31/2020	15:28:57	49	284	1.57	1.1	1	KXD	BLH	3	2		South
114 S	01/31/2020	15:30:29	50	267	1.08	1.8	2	KXD	BLH	3	2		South
115 S	01/31/2020	15:35:05	49	280	1.39	1.3	1	KXD	BLH	3	2		South
116 S	01/31/2020	15:37:30	48	268	1.25	1.5	4	KXD	BLH	3	2		South
117 S	01/31/2020	15:40:28	51	285	1.47	1.2	1	KXD	BLH	3	2		South
118 S	01/31/2020	15:42:42	52	253	1.25	1.5	3	KXD	BLH	3	2		South
119 C	01/31/2020	15:44:21	sighting 48 the est path is being generated from 285 not the resight at 268
120 S	01/31/2020	15:48:49	49	257	1.25	1.5	1	KXD	BLH	3	2		South
121 S	01/31/2020	15:49:36	51	262	1.08	1.8	1	KXD	BLH	3	2		South
123 S	01/31/2020	15:50:06	53	268	0.55	4	2	KXD	BLH	3	2		South
125 S	01/31/2020	15:51:12	54	271	1.25	1.5	1	KXD	BLH	3	2		South
126 S	01/31/2020	15:57:51	55	240	0.26	9	1	KXD	BLH	3	2		South
127 S	01/31/2020	16:00:23	56	290	1.8		0.9	1	KXD	BLH	3	2		South
128 S	01/31/2020	16:06:13	56	288	1.8		0.9	1	KXD	BLH	3	2		South
129 S	01/31/2020	16:07:17	57	280	1.68	1	1	KXD	BLH	3	2		South
130 S	01/31/2020	16:12:04	57	270	1.47	1.2	1	KXD	BLH	3	2		South
131 S	01/31/2020	16:14:29	58	288	1.8		0.9	1	KXD	BLH	3	2		South
132 S	01/31/2020	16:21:33	59	290	1.68	1	2	KXD	BLH	3	2		South
133 S	01/31/2020	16:26:52	59	277	1.47	1.2	2	KXD	BLH	3	2		South
134 E	01/31/2020	16:30:04
