093 S	1/13/2020	13:30:32	33	285	1.39	1.3	2	VLP	ARL	4	2		South
094 P	1/13/2020	13:31:52	ARL	BJB	N								
095 V	1/13/2020	13:31:52	4	2									
096 S	1/13/2020	13:39:45	34	282	1.95	0.8	1	ARL	BJB	4	2		South
097 S	1/13/2020	13:40:19	35	289	1.47	1.2	1	ARL	BJB	4	2		South
098 S	1/13/2020	13:47:50	36	282	1.68	1	2	ARL	BJB	4	2		South
099 S	1/13/2020	13:49:25	37	284	1.25	1.5	1	ARL	BJB	4	2		South
100 S	1/13/2020	13:54:18	31	260	1.08	1.8	2	ARL	BJB	4	2		South
101 S	1/13/2020	13:58:43	38	275	1.25	1.5	2	ARL	BJB	4	2		South
102 S	1/13/2020	13:59:04	39	278	1.47	1.2	2	ARL	BJB	4	2		South
103 S	1/13/2020	14:08:29	40	269	1.08	1.8	2	ARL	BJB	4	2		South
104 S	1/13/2020	14:11:57	41	284	1.08	1.8	1	ARL	BJB	4	2		South
105 S	1/13/2020	14:18:53	40	254	0.89	2.3	3	ARL	BJB	4	2		South
106 S	1/13/2020	14:23:52	42	289	1.47	1.2	3	ARL	BJB	4	2		South
107 S	1/13/2020	14:26:16	43	274	0.99	2	1	ARL	BJB	4	2		South
108 S	1/13/2020	14:32:23	44	270	1.95	0.8	1	ARL	BJB	4	2		South
109 S	1/13/2020	14:32:43	45	270	0.99	2	1	ARL	BJB	4	2		South
110 S	1/13/2020	14:37:17	46	270	0.71	3	1	ARL	BJB	4	2		South
111 S	1/13/2020	14:39:39	44	262	1.95	0.8	1	ARL	BJB	4	2		South
112 S	1/13/2020	14:40:50	47	288	0.75	2.8	1	ARL	BJB	4	2		South
113 S	1/13/2020	14:46:16	47	268	0.71	3	1	ARL	BJB	4	2		South
114 S	1/13/2020	14:50:21	48	260	1.08	1.8	1	ARL	BJB	4	2		South
115 S	1/13/2020	14:52:19	49	266	0.71	3	1	ARL	BJB	4	2		South
116 V	1/13/2020	14:53:50	4	3									
117 S	1/13/2020	14:56:27	50	287	1.47	1.2	2	ARL	BJB	4	3		South
118 P	1/13/2020	14:57:58	BJB	VLP	N								
119 V	1/13/2020	14:57:58	4	3									
121 S	1/13/2020	15:05:28	51	285	2.59	0.5	1	BJB	VLP	4	3		South
122 S	1/13/2020	15:07:19	50	262	1.08	1.8	2	BJB	VLP	4	3		South
123 S	1/13/2020	15:39:49	52	278	1.47	1.2	1	BJB	VLP	4	3		South
124 S	1/13/2020	15:43:06	53	287	0.55	4	2	BJB	VLP	4	3		South
125 S	1/13/2020	15:48:35	52	274	0.99	2	1	BJB	VLP	4	3		South
126 S	1/13/2020	15:49:53	53	253	0.38	6	2	BJB	VLP	4	3		South
127 S	1/13/2020	15:52:18	54	290	1.68	1	2	BJB	VLP	4	3		South
128 S	1/13/2020	16:09:12	55	287	1.25	1.5	4	BJB	VLP	4	3		South
129 S	1/13/2020	16:16:27	55	276	0.99	2	4	BJB	VLP	4	3		South
130 S	1/13/2020	16:25:50	56	265	0.99	2	6	BJB	VLP	4	3		South
131 S	1/13/2020	16:27:55	57	272	0.99	2	1	BJB	VLP	4	3		South
132 E	1/13/2020	16:30:49
