001 C	1/16/2020	13:23:22	We were unable to work earlier today due to high winds and rain.										
002 C	1/16/2020	13:23:49	"bino calibration. Observer = 228, recorder = 230"										
003 B	1/16/2020	13:30:00											
004 P	1/16/2020	13:30:00	VLP	ARL	N								
005 V	1/16/2020	13:30:00	4	4									
006 S	1/16/2020	13:34:33	1	251	0.24	10	1	VLP	ARL	4	4		South
007 S	1/16/2020	13:34:56	2	244	0.99	2	1	VLP	ARL	4	4		South
008 S	1/16/2020	13:35:24	3	259	0.83	2.5	2	VLP	ARL	4	4		South
009 S	1/16/2020	13:46:16	4	256	0.99	2	1	VLP	ARL	4	4		South
010 S	1/16/2020	13:47:59	4	245	0.99	2	1	VLP	ARL	4	4		South
011 S	1/16/2020	13:48:12	5	246	2.59	0.5	1	VLP	ARL	4	4		South
012 V	1/16/2020	14:07:41	4	4									
013 C	1/16/2020	14:09:54	Fog is obscuring ~0.5 reticles down from the horizon from 241 and north.										
014 S	1/16/2020	14:18:30	6	245	3.37	0.3	1	VLP	ARL	4	4		South
015 S	1/16/2020	14:32:06	7	275	1.39	1.3	1	VLP	ARL	4	4		South
016 V	1/16/2020	14:36:41	4	4									
017 S	1/16/2020	14:41:49	7	258	1.25	1.5	2	VLP	ARL	4	4		South
018 C	1/16/2020	14:57:43	"Fog has shifted slightly north now, obscuring horizon down about 1 reticle from ~250 and north."										
019 P	1/16/2020	15:00:08	ARL	BJB	N								
020 V	1/16/2020	15:00:08	4	4									
023 S	1/16/2020	15:15:52	8	285	1.08	1.8	1	BJB	ARL	4	4		South
026 V	1/16/2020	15:16:44	4	4									
027 S	1/16/2020	15:24:33	8	262	1.08	1.8	1	ARL	BJB	4	4		South
028 C	1/16/2020	15:37:41	240 to 270 horizon obscured by ~0.5 reticle.										
029 S	1/16/2020	15:39:06	9	281	0.99	2	1	ARL	BJB	4	4		South
030 S	1/16/2020	15:43:25	10	271	1.25	1.5	1	ARL	BJB	4	4		South
031 C	1/16/2020	16:11:15	fog and rain approaching. losing visibilty. calling quits										
032 E	1/16/2020	16:11:38											
