081 S	1/17/2020	12:07:11	42	282	1.95	0.8	2	ARL	BJB	2	2		South
082 S	1/17/2020	12:09:59	42	272	1.47	1.2	4	ARL	BJB	2	2		South
083 S	1/17/2020	12:14:37	44	274	2.59	0.5	1	ARL	BJB	2	2		South
084 S	1/17/2020	12:18:06	45	267	1.47	1.2	1	ARL	BJB	2	2		South
085 S	1/17/2020	12:20:58	46	262	1.47	1.2	1	ARL	BJB	2	2		South
086 S	1/17/2020	12:23:15	47	261	0.71	3	1	ARL	BJB	2	2		South
087 S	1/17/2020	12:27:27	48	255	1.25	1.5	2	ARL	BJB	2	2		South
088 S	1/17/2020	12:36:14	49	280	1.39	1.3	2	ARL	BJB	2	2		South
089 S	1/17/2020	12:49:29	50	290	1.68	1	1	ARL	BJB	2	2		South
090 S	1/17/2020	12:51:38	49	240	0.99	2	2	ARL	BJB	2	2		South
091 S	1/17/2020	12:57:33	51	277	1.19	1.6	3	ARL	BJB	2	2		South
092 S	1/17/2020	12:58:16	50	278	1.68	1	1	ARL	BJB	2	2		South
093 S	1/17/2020	13:08:45	52	270	1.13	1.7	4	ARL	BJB	2	2		South
094 S	1/17/2020	13:11:05	53	241	1.68	1	2	ARL	BJB	2	2		South
095 S	1/17/2020	13:13:49	54	268	1.25	1.5	1	ARL	BJB	2	2		South
096 S	1/17/2020	13:18:25	52	244	0.99	2	4	ARL	BJB	2	2		South
097 S	1/17/2020	13:20:59	55	285	1.25	1.5	2	ARL	BJB	2	2		South
098 S	1/17/2020	13:23:53	56	277	1.68	1	1	ARL	BJB	2	2		South
099 S	1/17/2020	13:26:00	57	254	1.13	1.7	1	ARL	BJB	2	2		South
100 S	1/17/2020	13:28:53	58	290	1.68	1	2	ARL	BJB	2	2		South
101 S	1/17/2020	13:30:45	59	288	1.25	1.5	1	ARL	BJB	2	2		South
102 P	1/17/2020	13:32:41	BJB	VLP	N								
103 V	1/17/2020	13:32:41	2	2									
104 S	1/17/2020	13:36:37	56	260	1.13	1.7	3	BJB	VLP	2	2		South
105 S	1/17/2020	13:38:01	60	258	0.83	2.5	1	BJB	VLP	2	2		South
106 S	1/17/2020	13:42:41	58	271	1.08	1.8	2	BJB	VLP	2	2		South
107 S	1/17/2020	13:44:07	58	259	1.08	1.8	2	BJB	VLP	2	2		South
108 S	1/17/2020	13:46:58	61	262	0.99	2	2	BJB	VLP	2	2		South
109 S	1/17/2020	13:48:21	59	243	0.99	2	2	BJB	VLP	2	2		South
110 S	1/17/2020	13:50:34	62	253	1.25	1.5	3	BJB	VLP	2	2		South
111 S	1/17/2020	13:54:35	61	241	0.83	2.5	2	BJB	VLP	2	2		South
112 S	1/17/2020	13:58:40	63	244	0.83	2.5	1	BJB	VLP	2	2		South
113 S	1/17/2020	13:58:47	64	242	0.99	2	1	BJB	VLP	2	2		South
114 S	1/17/2020	14:01:21	65	281	1.47	1.2	1	BJB	VLP	2	2		South
115 S	1/17/2020	14:03:56	66	260	0.99	2	2	BJB	VLP	2	2		South
116 S	1/17/2020	14:04:26	67	264	1.08	1.8	1	BJB	VLP	2	2		South
117 S	1/17/2020	14:09:05	68	289	1.68	1	1	BJB	VLP	2	2		South
118 S	1/17/2020	14:10:10	69	265	1.25	1.5	4	BJB	VLP	2	2		South
119 S	1/17/2020	14:12:11	67	243	1.08	1.8	2	BJB	VLP	2	2		South
120 S	1/17/2020	14:17:21	91	274	1.25	1.5	4	BJB	VLP	2	2		South
121 S	1/17/2020	14:20:56	65	246	0.99	2	1	BJB	VLP	2	2		South
122 S	1/17/2020	14:23:16	68	242	1.08	1.8	2	BJB	VLP	2	2		South
123 S	1/17/2020	14:28:50	70	249	0.55	4	1	BJB	VLP	2	2		South
124 S	1/17/2020	14:32:21	92	247	0.99	2	2	BJB	VLP	2	2		South
125 S	1/17/2020	14:40:24	71	250	0.99	2	1	BJB	VLP	2	2		South
126 S	1/17/2020	14:42:02	72	246	0.99	2	1	BJB	VLP	2	2		South
127 S	1/17/2020	14:53:03	73	237	1.08	1.8	2	BJB	VLP	2	2		South
128 S	1/17/2020	14:58:44	74	284	1.68	1	1	BJB	VLP	2	2		South
129 P	1/17/2020	15:00:07	VLP	ARL	N								
130 V	1/17/2020	15:00:07	2	2									
131 S	1/17/2020	15:04:41	74	275	1.39	1.3	1	VLP	ARL	2	2		South
132 S	1/17/2020	15:06:54	75	266	1.95	0.8	1	VLP	ARL	2	2		South
133 S	1/17/2020	15:11:15	74	262	1.25	1.5	1	VLP	ARL	2	2		South
134 S	1/17/2020	15:12:13	76	257	1.47	1.2	1	VLP	ARL	2	2		South
135 S	1/17/2020	15:13:38	76	255	1.47	1.2	2	VLP	ARL	2	2		South
136 S	1/17/2020	15:18:56	77	266	0.99	2	2	VLP	ARL	2	2		South
137 S	1/17/2020	15:25:57	78	290	1.95	0.8	2	VLP	ARL	2	2		South
138 S	1/17/2020	15:27:13	77	241	0.92	2.2	2	VLP	ARL	2	2		South
139 S	1/17/2020	15:28:30	79	266	1.95	0.8	2	VLP	ARL	2	2		South
140 S	1/17/2020	15:33:03	80	272	1.68	1	1	VLP	ARL	2	2		South
141 S	1/17/2020	15:35:42	81	284	1.39	1.3	1	VLP	ARL	2	2		South
142 S	1/17/2020	15:36:37	78	272	1.47	1.2	2	VLP	ARL	2	2		South
143 S	1/17/2020	15:37:28	80	270	1.68	1	1	VLP	ARL	2	2		South
144 S	1/17/2020	15:38:26	81	279	1.25	1.5	1	VLP	ARL	2	2		South
145 S	1/17/2020	15:39:10	79	257	1.68	1	2	VLP	ARL	2	2		South
146 S	1/17/2020	15:42:04	80	262	1.57	1.1	1	VLP	ARL	2	2		South
147 S	1/17/2020	15:42:32	78	259	1.39	1.3	2	VLP	ARL	2	2		South
148 S	1/17/2020	15:43:37	82	281	1.47	1.2	1	VLP	ARL	2	2		South
149 S	1/17/2020	15:44:42	81	254	0.99	2	1	VLP	ARL	2	2		South
150 S	1/17/2020	15:46:58	79	249	1.68	1	2	VLP	ARL	2	2		South
151 S	1/17/2020	15:47:37	83	258	1.25	1.5	1	VLP	ARL	2	2		South
152 V	1/17/2020	15:48:53	3	2									
153 S	1/17/2020	15:49:31	79	244	1.68	1	2	VLP	ARL	3	2		South
154 S	1/17/2020	15:49:52	78	243	1.39	1.3	2	VLP	ARL	3	2		South
155 S	1/17/2020	15:50:03	81	244	0.99	2	1	VLP	ARL	3	2		South
156 S	1/17/2020	15:52:33	84	276	1.39	1.3	1	VLP	ARL	3	2		South
157 S	1/17/2020	15:52:59	85	290	2.12	0.7	2	VLP	ARL	3	2		South
158 S	1/17/2020	15:53:59	82	256	1.25	1.5	6	VLP	ARL	3	2		South
159 S	1/17/2020	15:58:43	84	262	1.25	1.5	1	VLP	ARL	3	2		South
160 S	1/17/2020	15:59:15	85	277	1.68	1	2	VLP	ARL	3	2		South
161 S	1/17/2020	16:04:21	86	275	1.68	1	2	VLP	ARL	3	2		South
162 S	1/17/2020	16:05:16	84	248	1.08	1.8	1	VLP	ARL	3	2		South
165 S	1/17/2020	16:13:59	88	271	1.47	1.2	4	VLP	ARL	3	2		South
166 S	1/17/2020	16:14:33	89	284	1.39	1.3	1	VLP	ARL	3	2		South
167 S	1/17/2020	16:15:56	86	257	1.39	1.3	2	VLP	ARL	3	2		South
168 S	1/17/2020	16:21:24	89	272	1.25	1.5	1	VLP	ARL	3	2		South
169 S	1/17/2020	16:26:15	90	280	1.39	1.3	1	VLP	ARL	3	2		South
170 E	1/17/2020	16:30:00											
